,date,instrument,avg_volume
0,2023-09-04,42100_CE,23.0
1,2023-09-06,42100_CE,15.0
2,2023-09-01,42100_PE,15399.0
3,2023-09-04,42100_PE,10880.0
4,2023-09-05,42100_PE,8323.0
5,2023-09-06,42100_PE,5002.0
6,2023-09-05,42200_CE,15.0
7,2023-09-06,42200_CE,30.0
8,2023-09-01,42200_PE,22431.0
9,2023-09-04,42200_PE,13234.0
10,2023-09-05,42200_PE,8069.0
11,2023-09-06,42200_PE,5537.0
12,2023-09-01,42300_CE,21.0
13,2023-09-06,42300_CE,108.0
14,2023-09-01,42300_PE,17374.0
15,2023-09-04,42300_PE,13773.0
16,2023-09-05,42300_PE,8962.0
17,2023-09-06,42300_PE,7269.0
18,2023-09-05,42400_CE,20.0
19,2023-09-06,42400_CE,77.0
20,2023-09-01,42400_PE,19719.0
21,2023-09-04,42400_PE,13730.0
22,2023-09-05,42400_PE,12387.0
23,2023-09-06,42400_PE,7547.0
24,2023-09-01,42500_CE,79.0
25,2023-09-04,42500_CE,45.0
26,2023-09-05,42500_CE,32.0
27,2023-09-06,42500_CE,237.0
28,2023-09-01,42500_PE,53637.0
29,2023-09-04,42500_PE,58428.0
30,2023-09-05,42500_PE,55281.0
31,2023-09-06,42500_PE,50242.0
32,2023-09-01,42600_PE,24045.0
33,2023-09-04,42600_PE,16657.0
34,2023-09-05,42600_PE,13500.0
35,2023-09-06,42600_PE,11351.0
36,2023-09-01,42700_CE,99.0
37,2023-09-04,42700_CE,23.0
38,2023-09-05,42700_CE,25.0
39,2023-09-06,42700_CE,67.0
40,2023-09-01,42700_PE,19222.0
41,2023-09-04,42700_PE,16447.0
42,2023-09-05,42700_PE,14767.0
43,2023-09-06,42700_PE,12450.0
44,2023-09-01,42800_CE,54.0
45,2023-09-04,42800_CE,34.0
46,2023-09-05,42800_CE,15.0
47,2023-09-06,42800_CE,79.0
48,2023-09-01,42800_PE,26298.0
49,2023-09-04,42800_PE,21609.0
50,2023-09-05,42800_PE,18688.0
51,2023-09-06,42800_PE,17628.0
52,2023-09-01,42900_CE,104.0
53,2023-09-04,42900_CE,17.0
54,2023-09-05,42900_CE,33.0
55,2023-09-06,42900_CE,95.0
56,2023-09-01,42900_PE,23743.0
57,2023-09-04,42900_PE,20278.0
58,2023-09-05,42900_PE,15212.0
59,2023-09-06,42900_PE,14644.0
60,2023-09-01,43000_CE,910.0
61,2023-09-04,43000_CE,228.0
62,2023-09-05,43000_CE,161.0
63,2023-09-06,43000_CE,470.0
64,2023-09-01,43000_PE,65917.0
65,2023-09-04,43000_PE,62189.0
66,2023-09-05,43000_PE,73432.0
67,2023-09-06,43000_PE,109590.0
68,2023-09-01,43100_CE,161.0
69,2023-09-04,43100_CE,31.0
70,2023-09-05,43100_CE,38.0
71,2023-09-06,43100_CE,78.0
72,2023-09-01,43100_PE,29706.0
73,2023-09-04,43100_PE,25690.0
74,2023-09-05,43100_PE,21119.0
75,2023-09-06,43100_PE,29250.0
76,2023-09-01,43200_CE,305.0
77,2023-09-04,43200_CE,61.0
78,2023-09-05,43200_CE,65.0
79,2023-09-06,43200_CE,111.0
80,2023-09-01,43200_PE,39958.0
81,2023-09-04,43200_PE,27072.0
82,2023-09-05,43200_PE,21275.0
83,2023-09-06,43200_PE,27601.0
84,2023-09-01,43300_CE,417.0
85,2023-09-04,43300_CE,73.0
86,2023-09-05,43300_CE,50.0
87,2023-09-06,43300_CE,202.0
88,2023-09-01,43300_PE,43756.0
89,2023-09-04,43300_PE,31261.0
90,2023-09-05,43300_PE,23855.0
91,2023-09-06,43300_PE,33678.0
92,2023-09-01,43400_CE,802.0
93,2023-09-04,43400_CE,103.0
94,2023-09-05,43400_CE,81.0
95,2023-09-06,43400_CE,245.0
96,2023-09-01,43400_PE,53075.0
97,2023-09-04,43400_PE,37007.0
98,2023-09-05,43400_PE,29334.0
99,2023-09-06,43400_PE,40507.0
100,2023-09-01,43500_CE,7677.0
101,2023-09-04,43500_CE,719.0
102,2023-09-05,43500_CE,430.0
103,2023-09-06,43500_CE,1606.0
104,2023-09-01,43500_PE,114397.0
105,2023-09-04,43500_PE,72247.0
106,2023-09-05,43500_PE,71298.0
107,2023-09-06,43500_PE,150570.0
108,2023-09-01,43600_CE,5306.0
109,2023-09-04,43600_CE,228.0
110,2023-09-05,43600_CE,244.0
111,2023-09-06,43600_CE,439.0
112,2023-09-01,43600_PE,72155.0
113,2023-09-04,43600_PE,46541.0
114,2023-09-05,43600_PE,40046.0
115,2023-09-06,43600_PE,76813.0
116,2023-09-01,43700_CE,15230.0
117,2023-09-04,43700_CE,599.0
118,2023-09-05,43700_CE,267.0
119,2023-09-06,43700_CE,969.0
120,2023-09-01,43700_PE,95278.0
121,2023-09-04,43700_PE,55241.0
122,2023-09-05,43700_PE,49174.0
123,2023-09-01,43800_CE,49839.0
124,2023-09-04,43800_CE,1566.0
125,2023-09-05,43800_CE,809.0
126,2023-09-06,43800_CE,5014.0
127,2023-09-01,43800_PE,147145.0
128,2023-09-04,43800_PE,66661.0
129,2023-09-06,43800_PE,170301.0
130,2023-09-01,43900_CE,97805.0
131,2023-09-04,43900_CE,2304.0
132,2023-09-05,43900_CE,1262.0
133,2023-09-06,43900_CE,12622.0
134,2023-09-01,43900_PE,195098.0
135,2023-09-04,43900_PE,70896.0
136,2023-09-05,43900_PE,66643.0
137,2023-09-06,43900_PE,223263.0
138,2023-09-01,44000_CE,253964.0
139,2023-09-04,44000_CE,24824.0
140,2023-09-05,44000_CE,15585.0
141,2023-09-06,44000_CE,84307.0
142,2023-09-01,44000_PE,327447.0
143,2023-09-04,44000_PE,155854.0
144,2023-09-06,44000_PE,524614.0
145,2023-09-01,44100_CE,170105.0
146,2023-09-04,44100_CE,21232.0
147,2023-09-05,44100_CE,15476.0
148,2023-09-06,44100_CE,170661.0
149,2023-09-01,44100_PE,177479.0
150,2023-09-04,44100_PE,115167.0
151,2023-09-05,44100_PE,93031.0
152,2023-09-06,44100_PE,920857.0
153,2023-09-01,44200_CE,200708.0
154,2023-09-04,44200_CE,60199.0
155,2023-09-05,44200_CE,44452.0
156,2023-09-06,44200_CE,646178.0
157,2023-09-01,44200_PE,155375.0
158,2023-09-04,44200_PE,166627.0
159,2023-09-05,44200_PE,140324.0
160,2023-09-06,44200_PE,1807757.0
161,2023-09-01,44300_CE,198770.0
162,2023-09-04,44300_CE,124840.0
163,2023-09-05,44300_CE,102852.0
164,2023-09-06,44300_CE,1891512.0
165,2023-09-01,44300_PE,127958.0
166,2023-09-04,44300_PE,202970.0
167,2023-09-05,44300_PE,196084.0
168,2023-09-06,44300_PE,2251637.0
169,2023-09-01,44400_CE,197416.0
170,2023-09-04,44400_CE,246763.0
171,2023-09-05,44400_CE,203508.0
172,2023-09-06,44400_CE,2203180.0
173,2023-09-01,44400_PE,99665.0
174,2023-09-04,44400_PE,281457.0
175,2023-09-05,44400_PE,286098.0
176,2023-09-06,44400_PE,1500559.0
177,2023-09-01,44500_CE,284391.0
178,2023-09-04,44500_CE,444103.0
179,2023-09-05,44500_CE,426311.0
180,2023-09-06,44500_CE,1527826.0
181,2023-09-01,44500_PE,118085.0
182,2023-09-04,44500_PE,383634.0
183,2023-09-05,44500_PE,441607.0
184,2023-09-06,44500_PE,759843.0
185,2023-09-01,44600_CE,139091.0
186,2023-09-04,44600_CE,299729.0
187,2023-09-05,44600_CE,371612.0
188,2023-09-06,44600_CE,787234.0
189,2023-09-01,44600_PE,34559.0
190,2023-09-04,44600_PE,216226.0
191,2023-09-05,44600_PE,315609.0
192,2023-09-06,44600_PE,254379.0
193,2023-09-01,44700_CE,119611.0
194,2023-09-04,44700_CE,230143.0
195,2023-09-05,44700_CE,264661.0
196,2023-09-06,44700_CE,534943.0
197,2023-09-01,44700_PE,14705.0
198,2023-09-04,44700_PE,108135.0
199,2023-09-05,44700_PE,176147.0
200,2023-09-06,44700_PE,122792.0
201,2023-09-01,44800_CE,110032.0
202,2023-09-04,44800_CE,191242.0
203,2023-09-05,44800_CE,197725.0
204,2023-09-01,44800_PE,7771.0
205,2023-09-04,44800_PE,55076.0
206,2023-09-05,44800_PE,104378.0
207,2023-09-06,44800_PE,60631.0
208,2023-09-01,44900_CE,90422.0
209,2023-09-04,44900_CE,111193.0
210,2023-09-05,44900_CE,135445.0
211,2023-09-06,44900_CE,223467.0
212,2023-09-01,44900_PE,2713.0
213,2023-09-04,44900_PE,19846.0
214,2023-09-05,44900_PE,41936.0
215,2023-09-06,44900_PE,19548.0
216,2023-09-01,45000_CE,136607.0
217,2023-09-04,45000_CE,163928.0
218,2023-09-05,45000_CE,166976.0
219,2023-09-06,45000_CE,301252.0
220,2023-09-01,45000_PE,5690.0
221,2023-09-04,45000_PE,16213.0
