day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,1,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,1,17707,18418,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-18,NIFTY,STATE_SELL_1_360,SIG_1,1,1642477560,1642499160,18338.05,18095.7,242.35,0.0,Tuesday,1,18066,18652,360,1,0,0,1642477560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,38.04999999999927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642477560],[18338.05],0,0,0,0,0,0,0,0,0,2022-01-18 09:16:00
2022-01-17,NIFTY,STATE_SELL_1_360,SIG_1,1,1642391160,1642412760,18278.0,18305.8,-27.8,-0.0,Monday,1,17896,18679,360,1,0,0,1642391160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-22.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,[1642391160],[18278.0],0,0,0,0,0,0,0,0,0,2022-01-17 09:16:00
2022-01-14,NIFTY,STATE_SELL_1_360,SIG_1,1,1642131960,1642153560,18143.05,18256.0,-112.95,-0.0,Friday,1,17683,18393,360,1,0,0,1642131960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,43.04999999999927,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642131960],[18143.05],0,0,0,0,0,0,0,0,0,2022-01-14 09:16:00
2022-01-13,NIFTY,STATE_SELL_1_360,SIG_1,1,1642045560,1642067160,18215.85,18268.6,-52.75,-0.0,Thursday,1,17953,18535,360,1,0,0,1642045560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,15.849999999998545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642045560],[18215.85],0,0,0,0,0,0,0,0,0,2022-01-13 09:16:00
2022-01-12,NIFTY,STATE_SELL_1_360,SIG_1,1,1641959160,1641980760,18167.1,18216.55,-49.45,-0.0,Wednesday,1,17819,18397,360,1,0,0,1641959160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-32.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1641959160],[18167.1],0,0,0,0,0,0,0,0,0,2022-01-12 09:16:00
2022-01-11,NIFTY,STATE_SELL_1_360,SIG_1,1,1641872760,1641894360,18039.05,18051.55,-12.5,-0.0,Tuesday,1,17646,18418,360,1,0,0,1641872760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,39.04999999999927,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1641872760],[18039.05],0,0,0,0,0,0,0,0,0,2022-01-11 09:16:00
2022-01-10,NIFTY,STATE_SELL_1_360,SIG_1,1,1641786360,1641807960,17922.3,18002.25,-79.95,-0.0,Monday,1,17573,18142,360,1,0,0,1641786360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,22.299999999999272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1641786360],[17922.3],0,0,0,0,0,0,0,0,0,2022-01-10 09:16:00
2022-01-07,NIFTY,STATE_SELL_1_360,SIG_1,1,1641527160,1641548760,17830.8,17815.85,14.95,0.0,Friday,1,17420,18182,360,1,0,0,1641527160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,30.799999999999272,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1641527160],[17830.8],0,0,0,0,0,0,0,0,0,2022-01-07 09:16:00
2022-01-06,NIFTY,STATE_SELL_1_360,SIG_1,1,1641440760,1641462360,17794.5,17738.7,55.8,0.0,Thursday,1,17299,17994,360,1,0,0,1641440760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-5.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,[1641440760],[17794.5],0,0,0,0,0,0,0,0,0,2022-01-06 09:16:00
2022-01-05,NIFTY,STATE_SELL_1_360,SIG_1,1,1641354360,1641375960,17786.25,17934.0,-147.75,-0.0,Wednesday,1,17405,18167,360,1,0,0,1641354360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-13.75,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1641354360],[17786.25],0,0,0,0,0,0,0,0,0,2022-01-05 09:16:00
2022-01-04,NIFTY,STATE_SELL_1_360,SIG_1,1,1641267960,1641289560,17668.4,17795.35,-126.95,-0.0,Tuesday,1,17301,17862,360,1,0,0,1641267960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-31.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1641267960],[17668.4],0,0,0,0,0,0,0,0,0,2022-01-04 09:16:00
2022-01-03,NIFTY,STATE_SELL_1_360,SIG_1,1,1641181560,1641203160,17428.9,17618.1,-189.2,-0.0,Monday,1,17046,17792,360,1,0,0,1641181560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,28.900000000001455,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,[1641181560],[17428.9],0,0,0,0,0,0,0,0,0,2022-01-03 09:16:00
2021-12-30,NIFTY,STATE_SELL_1_360,SIG_1,1,1640835960,1640857560,17165.3,17205.15,-39.85,-0.0,Thursday,1,16717,17389,360,1,0,0,1640835960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-34.70000000000073,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,[1640835960],[17165.3],0,0,0,0,0,0,0,0,0,2021-12-30 09:16:00
2021-12-28,NIFTY,STATE_SELL_1_360,SIG_1,1,1640663160,1640684760,17184.9,17235.25,-50.35,-0.0,Tuesday,1,16852,17398,360,1,0,0,1640663160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-15.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1640663160],[17184.9],0,0,0,0,0,0,0,0,0,2021-12-28 09:16:00
2021-12-24,NIFTY,STATE_SELL_1_360,SIG_1,1,1640317560,1640339160,17093.95,17002.1,91.85,0.0,Friday,1,16857,17403,360,1,0,0,1640317560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-6.049999999999272,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1640317560],[17093.95],0,0,0,0,0,0,0,0,0,2021-12-24 09:16:00
2021-12-23,NIFTY,STATE_SELL_1_360,SIG_1,1,1640231160,1640252760,17045.9,17087.75,-41.85,-0.0,Thursday,1,16674,17214,360,1,0,0,1640231160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,45.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1640231160],[17045.9],0,0,0,0,0,0,0,0,0,2021-12-23 09:16:00
2021-12-21,NIFTY,STATE_SELL_1_360,SIG_1,1,1640058360,1640079960,16724.55,16772.85,-48.3,-0.0,Tuesday,1,16255,16967,360,1,0,0,1640058360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,24.549999999999272,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[1640058360],[16724.55],0,0,0,0,0,0,0,0,0,2021-12-21 09:16:00
2021-12-16,NIFTY,STATE_SELL_1_360,SIG_1,1,1639626360,1639647960,17359.65,17243.35,116.3,0.0,Thursday,1,17034,17586,360,1,0,0,1639626360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.349999999998545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1639626360],[17359.65],0,0,0,0,0,0,0,0,0,2021-12-16 09:16:00
2021-12-13,NIFTY,STATE_SELL_1_360,SIG_1,1,1639367160,1639388760,17613.05,17368.15,244.9,0.0,Monday,1,17237,17795,360,1,0,0,1639367160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,13.049999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1639367160],[17613.05],0,0,0,0,0,0,0,0,0,2021-12-13 09:16:00
2021-12-09,NIFTY,STATE_SELL_1_360,SIG_1,1,1639021560,1639043160,17523.85,17518.35,5.5,0.0,Thursday,1,17187,17744,360,1,0,0,1639021560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,23.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1639021560],[17523.85],0,0,0,0,0,0,0,0,0,2021-12-09 09:16:00
2021-12-08,NIFTY,STATE_SELL_1_360,SIG_1,1,1638935160,1638956760,17342.9,17472.5,-129.6,-0.0,Wednesday,1,16960,17510,360,1,0,0,1638935160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,42.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1638935160],[17342.9],0,0,0,0,0,0,0,0,0,2021-12-08 09:16:00
2021-12-06,NIFTY,STATE_SELL_1_360,SIG_1,1,1638762360,1638783960,17152.6,16915.1,237.5,0.0,Monday,1,16872,17550,360,1,0,0,1638762360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1638762360],[17152.6],0,0,0,0,0,0,0,0,0,2021-12-06 09:16:00
2021-12-03,NIFTY,STATE_SELL_1_360,SIG_1,1,1638503160,1638524760,17455.45,17198.2,257.25,0.0,Friday,1,17074,17627,360,1,0,0,1638503160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-44.54999999999927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1638503160],[17455.45],0,0,0,0,0,0,0,0,0,2021-12-03 09:16:00
2021-11-29,NIFTY,STATE_SELL_1_360,SIG_1,1,1638157560,1638179160,16981.05,17051.7,-70.65,-0.0,Monday,1,16634,17303,360,1,0,0,1638157560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-18.950000000000728,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1638157560],[16981.05],0,0,0,0,0,0,0,0,0,2021-11-29 09:16:00
2021-11-25,NIFTY,STATE_SELL_1_360,SIG_1,1,1637811960,1637833560,17394.25,17532.15,-137.9,-0.0,Thursday,1,17047,17732,360,1,0,0,1637811960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-5.75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1637811960],[17394.25],0,0,0,0,0,0,0,0,0,2021-11-25 09:16:00
2021-11-24,NIFTY,STATE_SELL_1_360,SIG_1,1,1637725560,1637747160,17530.15,17408.9,121.25,0.0,Wednesday,1,17091,17839,360,1,0,0,1637725560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,30.150000000001455,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[1637725560],[17530.15],0,0,0,0,0,0,0,0,0,2021-11-24 09:16:00
2021-11-23,NIFTY,STATE_SELL_1_360,SIG_1,1,1637639160,1637660760,17272.2,17502.4,-230.2,-0.0,Tuesday,1,16911,17591,360,1,0,0,1637639160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-27.799999999999272,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1637639160],[17272.2],0,0,0,0,0,0,0,0,0,2021-11-23 09:16:00
2021-11-18,NIFTY,STATE_SELL_1_360,SIG_1,1,1637207160,1637228760,17909.7,17748.45,161.25,0.0,Thursday,1,17440,18141,360,1,0,0,1637207160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,9.700000000000728,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[1637207160],[17909.7],0,0,0,0,0,0,0,0,0,2021-11-18 09:16:00
2021-11-15,NIFTY,STATE_SELL_1_360,SIG_1,1,1636947960,1636969560,18176.5,18107.65,68.85,0.0,Monday,1,17736,18310,360,1,0,0,1636947960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-23.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1636947960],[18176.5],0,0,0,0,0,0,0,0,0,2021-11-15 09:16:00
2021-11-12,NIFTY,STATE_SELL_1_360,SIG_1,1,1636688760,1636710360,17959.45,18095.1,-135.65,-0.0,Friday,1,17647,18218,360,1,0,0,1636688760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.54999999999927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1636688760],[17959.45],0,0,0,0,0,0,0,0,0,2021-11-12 09:16:00
2021-11-09,NIFTY,STATE_SELL_1_360,SIG_1,1,1636429560,1636451160,18062.1,18045.45,16.65,0.0,Tuesday,1,17724,18500,360,1,0,0,1636429560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-37.900000000001455,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1636429560],[18062.1],0,0,0,0,0,0,0,0,0,2021-11-09 09:16:00
2021-11-08,NIFTY,STATE_SELL_1_360,SIG_1,1,1636343160,1636364760,17969.9,18070.0,-100.1,-0.0,Monday,1,17622,18193,360,1,0,0,1636343160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-30.099999999998545,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,[1636343160],[17969.9],0,0,0,0,0,0,0,0,0,2021-11-08 09:16:00
2021-11-03,NIFTY,STATE_SELL_1_360,SIG_1,1,1635911160,1635932760,17969.55,17814.0,155.55,0.0,Wednesday,1,17616,18387,360,1,0,0,1635911160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-30.450000000000728,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1635911160],[17969.55],0,0,0,0,0,0,0,0,0,2021-11-03 09:16:00
2021-11-02,NIFTY,STATE_SELL_1_360,SIG_1,1,1635824760,1635846360,17990.25,17892.9,97.35,0.0,Tuesday,1,17553,18122,360,1,0,0,1635824760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1635824760],[17990.25],0,0,0,0,0,0,0,0,0,2021-11-02 09:16:00
2021-10-29,NIFTY,STATE_SELL_1_360,SIG_1,1,1635479160,1635500760,17741.5,17645.1,96.4,0.0,Friday,1,17493,18196,360,1,0,0,1635479160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,41.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1635479160],[17741.5],0,0,0,0,0,0,0,0,0,2021-10-29 09:16:00
2021-10-28,NIFTY,STATE_SELL_1_360,SIG_1,1,1635392760,1635414360,18151.3,17853.1,298.2,0.0,Thursday,1,17765,18479,360,1,0,0,1635392760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-48.70000000000073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1635392760],[18151.3],0,0,0,0,0,0,0,0,0,2021-10-28 09:16:00
2021-10-27,NIFTY,STATE_SELL_1_360,SIG_1,1,1635306360,1635327960,18321.5,18219.45,102.05,0.0,Wednesday,1,17847,18628,360,1,0,0,1635306360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,21.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1635306360],[18321.5],0,0,0,0,0,0,0,0,0,2021-10-27 09:16:00
2021-10-22,NIFTY,STATE_SELL_1_360,SIG_1,1,1634874360,1634895960,18232.05,18119.1,112.95,0.0,Friday,1,17832,18613,360,1,0,0,1634874360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,32.04999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634874360],[18232.05],0,0,0,0,0,0,0,0,0,2021-10-22 09:16:00
2021-10-20,NIFTY,STATE_SELL_1_360,SIG_1,1,1634701560,1634723160,18442.55,18258.05,184.5,0.0,Wednesday,1,18008,18731,360,1,0,0,1634701560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,42.54999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634701560],[18442.55],0,0,0,0,0,0,0,0,0,2021-10-20 09:16:00
2021-10-19,NIFTY,STATE_SELL_1_360,SIG_1,1,1634615160,1634636760,18554.45,18407.55,146.9,0.0,Tuesday,1,18269,18861,360,1,0,0,1634615160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-45.54999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634615160],[18554.45],0,0,0,0,0,0,0,0,0,2021-10-19 09:16:00
2021-10-18,NIFTY,STATE_SELL_1_360,SIG_1,1,1634528760,1634550360,18468.4,18472.0,-3.6,-0.0,Monday,1,18076,18662,360,1,0,0,1634528760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-31.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634528760],[18468.4],0,0,0,0,0,0,0,0,0,2021-10-18 09:16:00
2021-10-14,NIFTY,STATE_SELL_1_360,SIG_1,1,1634183160,1634204760,18265.65,18341.25,-75.6,-0.0,Thursday,1,17933,18514,360,1,0,0,1634183160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-34.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634183160],[18265.65],0,0,0,0,0,0,0,0,0,2021-10-14 09:16:00
2021-10-13,NIFTY,STATE_SELL_1_360,SIG_1,1,1634096760,1634118360,18071.6,18161.9,-90.3,-0.0,Wednesday,1,17706,18280,360,1,0,0,1634096760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-28.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1634096760],[18071.6],0,0,0,0,0,0,0,0,0,2021-10-13 09:16:00
2021-10-12,NIFTY,STATE_SELL_1_360,SIG_1,1,1634010360,1634031960,17942.5,17991.8,-49.3,-0.0,Tuesday,1,17474,18176,360,1,0,0,1634010360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,42.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[1634010360],[17942.5],0,0,0,0,0,0,0,0,0,2021-10-12 09:16:00
2021-10-11,NIFTY,STATE_SELL_1_360,SIG_1,1,1633923960,1633945560,17875.8,17946.2,-70.4,-0.0,Monday,1,17362,18060,360,1,0,0,1633923960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-24.200000000000728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[1633923960],[17875.8],0,0,0,0,0,0,0,0,0,2021-10-11 09:16:00
2021-10-08,NIFTY,STATE_SELL_1_360,SIG_1,1,1633664760,1633686360,17885.25,17893.1,-7.85,-0.0,Friday,1,17592,18162,360,1,0,0,1633664760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1633664760],[17885.25],0,0,0,0,0,0,0,0,0,2021-10-08 09:16:00
2021-10-06,NIFTY,STATE_SELL_1_360,SIG_1,1,1633491960,1633513560,17870.3,17648.3,222.0,0.0,Wednesday,1,17464,18030,360,1,0,0,1633491960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-29.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1633491960],[17870.3],0,0,0,0,0,0,0,0,0,2021-10-06 09:16:00
2021-10-05,NIFTY,STATE_SELL_1_360,SIG_1,1,1633405560,1633427160,17659.3,17827.25,-167.95,-0.0,Tuesday,1,17163,17853,360,1,0,0,1633405560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.70000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1633405560],[17659.3],0,0,0,0,0,0,0,0,0,2021-10-05 09:16:00
2021-10-04,NIFTY,STATE_SELL_1_360,SIG_1,1,1633319160,1633340760,17615.35,17693.9,-78.55,-0.0,Monday,1,17291,17851,360,1,0,0,1633319160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,15.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1633319160],[17615.35],0,0,0,0,0,0,0,0,0,2021-10-04 09:16:00
2021-09-30,NIFTY,STATE_SELL_1_360,SIG_1,1,1632973560,1632995160,17724.05,17629.9,94.15,0.0,Thursday,1,17356,18115,360,1,0,0,1632973560,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,24.049999999999272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632973560],[17724.05],0,0,0,0,0,0,0,0,0,2021-09-30 09:16:00
2021-09-28,NIFTY,STATE_SELL_1_360,SIG_1,1,1632800760,1632822360,17867.75,17768.7,99.05,0.0,Tuesday,1,17562,18331,360,1,0,0,1632800760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-32.25,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1632800760],[17867.75],0,0,0,0,0,0,0,0,0,2021-09-28 09:16:00
2021-09-27,NIFTY,STATE_SELL_1_360,SIG_1,1,1632714360,1632735960,17921.35,17857.8,63.55,0.0,Monday,1,17557,18326,360,1,0,0,1632714360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,21.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632714360],[17921.35],0,0,0,0,0,0,0,0,0,2021-09-27 09:16:00
