Time,index,Close,Inflex,FPInflex,FPLCount,FPHCount,FPL In Range,FPH In Range,Lowest FPL,Highest FPH,FPTrend,SPTrend,TPInflex,TPLCount,TPHCount,TPL In Range,TPH In Range,Lowest TPL,Highest TPH,Local Min,Local Max,SPExt,Local Fourth Min,Local Fourth Max,FourthExt
1655091900,0,15834.5,LH,FPH,0.0,1.0,0.0,1.0,0.0,15834.5,,,SPH,0.0,0.0,0.0,0.0,0.0,0.0,,15834.5,SPH,15822.8,0.0,
1655091960,1,15822.8,LL,FPL,1.0,1.0,1.0,0.0,15822.8,15834.5,,,TPL,1.0,0.0,1.0,0.0,15822.8,0.0,15822.8,15834.5,SPL,15822.8,0.0,FRPL
1655092020,2,15835.1,LH,FPH,1.0,2.0,0.0,1.0,15822.8,15835.1,,,TPH,1.0,1.0,0.0,1.0,15822.8,15835.1,15822.8,15835.1,SPH,15822.8,15835.1,FRPH
1655092080,3,15814.65,LL,FPL,2.0,2.0,1.0,0.0,15814.65,15835.1,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15814.65,15835.1,SPL,15752.8,15835.1,
1655092140,4,15817.4,,,2.0,2.0,1.0,0.0,15814.65,15835.1,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15814.65,15836.3,,15752.8,15835.1,
1655092200,5,15832.05,,,2.0,2.0,1.0,0.0,15814.65,15835.1,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15814.65,15836.3,,15752.8,15835.1,
1655092260,6,15835.25,,,2.0,2.0,1.0,0.0,15814.65,15835.1,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15814.65,15836.3,,15752.8,15835.1,
1655092320,7,15836.3,LH,FPH,2.0,3.0,0.0,1.0,15814.65,15836.3,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15814.65,15836.3,SPH,15752.8,15835.1,
1655092380,8,15812.85,,,2.0,3.0,0.0,1.0,15814.65,15836.3,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15783.2,15836.3,,15752.8,15835.1,
1655092440,9,15805.45,,,2.0,3.0,0.0,1.0,15814.65,15836.3,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15783.2,15836.3,,15752.8,15835.1,
1655092500,10,15798.45,,,2.0,3.0,0.0,1.0,15814.65,15836.3,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15783.2,15836.3,,15752.8,15835.1,
1655092560,11,15791.7,,,2.0,3.0,0.0,1.0,15814.65,15836.3,,,,1.0,1.0,0.0,1.0,15822.8,15835.1,15783.2,15836.3,,15752.8,15835.1,
1655092620,12,15783.2,LL,FPL,3.0,3.0,1.0,0.0,15783.2,15836.3,,,TPL,2.0,1.0,1.0,0.0,15783.2,15835.1,15783.2,15836.3,SPL,15752.8,15835.1,
1655092680,13,15798.05,LH,FPH,3.0,4.0,0.0,1.0,15783.2,15798.05,,,,2.0,1.0,1.0,0.0,15783.2,15835.1,15783.2,15798.05,SPH,15752.8,15835.1,
1655092740,14,15791.7,,,3.0,4.0,0.0,1.0,15783.2,15798.05,,,,2.0,1.0,1.0,0.0,15783.2,15835.1,15784.9,15798.05,,15752.8,15835.1,
1655092800,15,15784.9,LL,FPL,4.0,4.0,1.0,0.0,15784.9,15798.05,,,TPL,3.0,1.0,2.0,0.0,15783.2,15835.1,15784.9,15798.05,SPL,15752.8,15835.1,
1655092860,16,15791.2,,,4.0,4.0,1.0,0.0,15784.9,15798.05,,,,3.0,1.0,2.0,0.0,15783.2,15835.1,15784.9,15797.2,,15752.8,15835.1,
1655092920,17,15797.2,LH,FPH,4.0,5.0,0.0,1.0,15784.9,15797.2,,,,3.0,1.0,2.0,0.0,15783.2,15835.1,15784.9,15797.2,SPH,15752.8,15835.1,
