day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-27,NIFTY,CDLHIKKAKE_BUY_5_20,SIG_1,1,1643258400,1643259060,17014.45,16964.9,-49.55,-0.0,Thursday,1,17048.478900000002,16997.435550000002,20,1,-1,0,1643258400,True,0,20389.14624999976,169.90955208333133,13.462423836573912,0.2,-0.1,-4.240958876871149,5.981003134429599,-16.861623933105182,33.53662358817815,INSIDE_VA,1,0.05,0,0.02,0.12,0,0,-100,-100,-100,0,14.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643258160],"[[17030.0, 17030.65, 17001.55, 17014.45]]",58.18181818181818,2.0896249999995926,1.4929612631722562,0.6,0.4,0.9388850569341349,1.1607877425260333,0.8264110782508254,1.2632139217487672,2022-01-27 10:10:00
2022-01-25,NIFTY,CDL3OUTSIDE_BUY_5_20,SIG_1,1,1643084100,1643084340,17113.0,17079.95,-33.05,-0.0,Tuesday,1,17147.226,17095.887,20,1,-1,0,1643084100,True,0,23010.339999999618,191.75283333333016,14.301620731775548,0.08,0.72,12.14923078072515,3.9235828712783336,138.37857052811194,14.432346138551935,INSIDE_VA,1,0.44,0,0.38,0.62,0,0,-100,-100,-100,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643083860],"[[17080.0, 17114.8, 17065.4, 17113.0]]",100.0,71.99521874999681,8.763269937642946,0.18,0.82,7.955908382216503,3.6740198439548184,59.340448299583876,12.654770450412927,2022-01-25 09:45:00
2022-01-25,NIFTY,CDLHIKKAKE_SELL_5_20,SIG_1,1,1643085000,1643085120,17170.75,17189.8,-19.05,-0.0,Tuesday,1,17136.4085,17187.920749999997,20,1,-1,0,1643085000,True,0,29838.981249999637,248.65817708333032,16.28604890355195,0.07,0.68,13.393159898927623,4.2503818298516896,168.1656863233528,16.93663659331256,INSIDE_VA,1,0.46,0,0.36,0.75,0,0,-100,-100,-100,0,-29.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[1643084760],"[[17120.8, 17174.3, 17120.8, 17170.75]]",100.0,12.580218750000334,3.6631816771763255,0.0,1.0,3.6631816771763255,0.0,12.580218750000334,0.0,2022-01-25 10:00:00
2022-01-25,NIFTY,CDLHIKKAKE_SELL_5_20,SIG_2,1,1643085600,1643085720,17102.05,17040.2,61.85,-0.0,Tuesday,1,17067.8459,17119.152049999997,20,1,1,0,1643085600,True,0,36278.166249999435,302.3180520833286,17.95752179140774,0.06,0.63,14.266765531994555,4.2503818298516896,190.8193113233511,16.93663659331256,INSIDE_VA,1,0.26,0,0.18,0.5,0,0,-100,-100,-100,0,2.0499999999992724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643085360],"[[17128.1, 17158.8, 17095.85, 17102.05]]",52.727272727272734,15.503125,4.06653005235012,0.0,1.0,4.06653005235012,0.0,15.503125,0.0,2022-01-25 10:10:00
2022-01-24,NIFTY,CDLSHORTLINE_BUY_5_20,SIG_1,1,1642999200,1642999440,17460.5,17434.75,-25.75,0.0,Monday,1,17495.421,17443.0395,20,1,-1,0,1642999200,True,0,18983.57875000034,158.19648958333616,12.990108630116426,0.08,-0.2,-5.783160251675356,3.593372486851362,-31.3546335905229,12.10530546493157,INSIDE_VA,1,-0.22,0,-0.2,-0.25,0,0,-100,-100,-100,0,-39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642998960],"[[17436.25, 17461.6, 17431.35, 17460.5]]",45.45454545454546,5.534802083333554,2.429771365558728,0.77,0.23,1.159168669103301,2.1354430185463635,1.259692503216298,4.275109580117256,2022-01-24 10:10:00
2022-01-24,NIFTY,CDLXSIDEGAP3METHODS_SELL_5_20,SIG_1,1,1642999200,1642999560,17460.5,17416.3,44.2,0.0,Monday,1,17425.579,17477.960499999997,20,1,1,0,1642999200,True,0,18983.57875000034,158.19648958333616,12.990108630116426,0.08,-0.2,-5.783160251675356,3.593372486851362,-31.3546335905229,12.10530546493157,INSIDE_VA,1,-0.22,0,-0.2,-0.25,0,0,-100,-100,-100,0,-39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642998960],"[[17436.25, 17461.6, 17431.35, 17460.5]]",45.45454545454546,5.534802083333554,2.429771365558728,0.77,0.23,1.159168669103301,2.1354430185463635,1.259692503216298,4.275109580117256,2022-01-24 10:10:00
2022-01-21,NIFTY,CDLENGULFING_BUY_5_20,SIG_1,1,1642738500,1642738800,17622.25,17661.25,39.0,-0.0,Friday,1,17657.4945,17604.62775,20,1,1,0,1642738500,True,0,7049.354999999833,58.74462499999861,7.915865924416093,0.0,0.01,0.8976264999067355,0.0,0.7553750000013906,0.0,GAP_DOWN,1,0.16,0,0.12,0.25,0,0,-100,-100,-100,0,22.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642738260],"[[17592.6, 17622.55, 17583.35, 17622.25]]",100.0,4.675,2.23308456325923,0.0,1.0,2.23308456325923,0.0,4.675,0.0,2022-01-21 09:45:00
2022-01-21,NIFTY,CDL3OUTSIDE_BUY_5_20,SIG_1,1,1642738800,1642739700,17661.25,17637.05,-24.2,0.0,Friday,1,17696.5725,17643.58875,20,1,-1,0,1642738800,True,0,8077.541249999767,67.31284374999807,8.473509701809787,0.0,0.14,3.153595831216734,0.0,9.32359375000084,0.0,GAP_DOWN,1,0.34,0,0.29,0.5,0,0,-100,-100,-100,0,-38.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642738560],"[[17622.1, 17665.0, 17613.3, 17661.25]]",100.0,8.56821874999945,3.0231495717765515,0.0,1.0,3.0231495717765515,0.0,8.56821874999945,0.0,2022-01-21 09:50:00
2022-01-21,NIFTY,CDLHIKKAKE_SELL_5_20,SIG_1,1,1642738800,1642740000,17661.25,17652.55,8.7,0.0,Friday,1,17625.9275,17678.911249999997,20,1,0,0,1642738800,True,0,8077.541249999767,67.31284374999807,8.473509701809787,0.0,0.14,3.153595831216734,0.0,9.32359375000084,0.0,GAP_DOWN,1,0.34,0,0.29,0.5,0,0,-100,-100,-100,0,-38.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642738560],"[[17622.1, 17665.0, 17613.3, 17661.25]]",100.0,8.56821874999945,3.0231495717765515,0.0,1.0,3.0231495717765515,0.0,8.56821874999945,0.0,2022-01-21 09:50:00
2022-01-21,NIFTY,CDLSHORTLINE_BUY_5_20,SIG_1,1,1642740000,1642740300,17652.55,17631.2,-21.35,0.0,Friday,1,17687.8551,17634.89745,20,1,-1,0,1642740000,True,0,12906.09999999961,107.55083333333008,10.710783766320997,0.0,0.29,5.812196169203286,0.7080004093142342,31.670272789970017,0.4699355433648031,GAP_DOWN,1,0.25,0,0.25,0.25,0,0,-100,-100,-100,0,-47.45000000000073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642739760],"[[17636.8, 17657.0, 17628.25, 17652.55]]",74.54545454545455,6.648968749999031,2.663124731087956,0.0,1.0,2.663124731087956,0.0,6.648968749999031,0.0,2022-01-21 10:10:00
