day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,pattern_quad,pattern_lin,pattern_quad_r2,pattern_lin_r2,pattern_market_auc,pattern_trend_auc,pattern_auc_del,infl_0,infl_n,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-27,NIFTY,CDLSHORTLINE_SELL_5_20,SIG_1,1,1643259000,1643259240,16998.55,16961.4,37.15,-0.0,Thursday,1,16964.5529,17015.548549999996,20,1,1,0,1643259000,True,0,20705.963749999642,172.5496979166637,13.566613841010879,0.21,-0.1,-4.23312715618297,6.1596028640789635,-16.79940517538786,35.56941322797166,-0.1899,0.1837,0.99,0.94,0.38,0.3871,-0.0071,0.67,0.11,0.6153,-0.0089,7.3003,-0.2858,-6.95,-5.42,0.9993,1.0007,-0.0014,17001.25,17024.1,INSIDE_VA,2,0.03,0.01,0.02,0.0,-0.25,-0.25,-0.5,-1.52,0.0,1.0,-1.4500000000007276,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643258760],"[[17019.2, 17026.65, 16998.55, 16998.55]]",38.46153846153846,1.916052083332813,1.4296114468233436,0.83,0.17,0.597584003023798,1.298723314728117,0.33478747562807504,1.581264607704738,2022-01-27 10:20:00
2022-01-27,NIFTY,CDLBELTHOLD_SELL_5_20,SIG_1,1,1643259300,1643259420,16965.15,16983.4,-18.25,-0.0,Thursday,1,16931.2197,16982.115149999998,20,1,-1,0,1643259300,True,0,22702.95874999946,189.19132291666216,14.205776211730669,0.25,-0.11,-4.784991650902357,7.121446098303578,-21.465136030504937,47.54530737285305,-0.1683,0.1303,0.99,0.95,0.39,0.3944,-0.0044,0.66,0.12,0.6116,-0.0028,3.7859,-0.1795,-3.61,-2.27,0.9993,0.9989,0.0003,17001.25,16964.9,INSIDE_VA,2,0.03,-0.05,-0.05,-0.05,-0.62,-0.25,-0.09,-1.41,0.0,1.0,-34.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643259060],"[[16998.45, 16998.45, 16957.1, 16965.15]]",25.71428571428571,14.849333333331886,3.979860410728917,0.74,0.26,2.027602148116634,3.4246340560474717,3.85422231660674,10.995111016725145,2022-01-27 10:25:00
2022-01-27,NIFTY,CDLSPINNINGTOP_BUY_5_20,SIG_1,1,1643259600,1643260080,16969.5,17004.15,34.65,-0.0,Thursday,1,17003.439,16952.5305,20,1,1,0,1643259600,True,0,22955.95874999946,191.2996562499955,14.284710940955783,0.25,-0.1,-4.586969337494066,7.148987762182674,-19.725269721666333,47.91377439734779,-0.2128,0.2307,0.98,0.94,0.4,0.4088,-0.0088,0.69,0.13,0.6201,0.0137,2.1531,-0.1221,-2.23,-1.17,0.9993,0.9995,-0.0002,17001.25,16983.4,INSIDE_VA,2,0.03,-0.05,-0.05,-0.05,-0.42,-0.25,-0.15,-1.31,0.0,1.0,-30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643259360],"[[16964.55, 16985.4, 16959.5, 16969.5]]",29.333333333333332,16.641624999998466,4.213201474729761,0.72,0.28,2.2308696911275536,3.5741134688022265,4.665730855117075,11.975894144881392,2022-01-27 10:30:00
2022-01-27,NIFTY,CDLBELTHOLD_BUY_5_20,SIG_1,1,1643259900,1643260860,16988.4,16966.55,-21.85,-0.0,Thursday,1,17022.376800000002,16971.411600000003,20,1,-1,0,1643259900,True,0,22969.638749999427,191.41365624999523,14.288966605974752,0.25,-0.1,-4.58190658004295,7.154243931329674,-19.681751163975825,47.984255839656996,-0.2715,0.3941,0.97,0.91,0.42,0.4051,0.0149,0.69,0.12,0.6086,0.0193,1.8764,-0.111,-1.89,-0.95,0.9993,0.9995,-0.0002,17001.25,16984.0,INSIDE_VA,2,0.03,-0.02,-0.03,0.0,-0.25,0.0,-0.98,-1.22,0.69,1.0,-11.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259660],"[[16969.3, 16992.25, 16969.3, 16988.4]]",44.99999999999999,2.2223333333330535,1.539639207375738,0.2,0.8,1.3792306518361557,0.6842599637010803,1.7833848665291123,0.438948466803941,2022-01-27 10:35:00
2022-01-27,NIFTY,CDLHIKKAKE_SELL_5_20,SIG_1,1,1643259900,1643261100,16988.4,16969.5,18.9,-0.0,Thursday,1,16954.4232,17005.3884,20,1,0,0,1643259900,True,0,22969.638749999427,191.41365624999523,14.288966605974752,0.25,-0.1,-4.58190658004295,7.154243931329674,-19.681751163975825,47.984255839656996,-0.2715,0.3941,0.97,0.91,0.42,0.4051,0.0149,0.69,0.12,0.6086,0.0193,1.8764,-0.111,-1.89,-0.95,0.9993,0.9995,-0.0002,17001.25,16984.0,INSIDE_VA,2,0.03,-0.02,-0.03,0.0,-0.25,0.0,-0.98,-1.22,0.69,1.0,-11.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259660],"[[16969.3, 16992.25, 16969.3, 16988.4]]",44.99999999999999,2.2223333333330535,1.539639207375738,0.2,0.8,1.3792306518361557,0.6842599637010803,1.7833848665291123,0.438948466803941,2022-01-27 10:35:00
2022-01-27,NIFTY,CDLLONGLINE_BUY_5_20,SIG_1,1,1643259900,1643260860,16988.4,16966.55,-21.85,-0.0,Thursday,1,17022.376800000002,16971.411600000003,20,1,-1,0,1643259900,True,0,22969.638749999427,191.41365624999523,14.288966605974752,0.25,-0.1,-4.58190658004295,7.154243931329674,-19.681751163975825,47.984255839656996,-0.2715,0.3941,0.97,0.91,0.42,0.4051,0.0149,0.69,0.12,0.6086,0.0193,1.8764,-0.111,-1.89,-0.95,0.9993,0.9995,-0.0002,17001.25,16984.0,INSIDE_VA,2,0.03,-0.02,-0.03,0.0,-0.25,0.0,-0.98,-1.22,0.69,1.0,-11.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259660],"[[16969.3, 16992.25, 16969.3, 16988.4]]",44.99999999999999,2.2223333333330535,1.539639207375738,0.2,0.8,1.3792306518361557,0.6842599637010803,1.7833848665291123,0.438948466803941,2022-01-27 10:35:00
2022-01-27,NIFTY,CDLDOJI_BUY_5_20,SIG_1,1,1643260200,1643260860,16988.55,16966.55,-22.0,-0.0,Thursday,1,17022.5271,16971.56145,20,1,-1,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLDOJISTAR_SELL_5_20,SIG_1,1,1643260200,1643261400,16988.55,16957.05,31.5,-0.0,Thursday,1,16954.5729,17005.538549999997,20,1,0,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLGRAVESTONEDOJI_BUY_5_20,SIG_1,1,1643260200,1643260860,16988.55,16966.55,-22.0,-0.0,Thursday,1,17022.5271,16971.56145,20,1,-1,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLHIGHWAVE_SELL_5_20,SIG_1,1,1643260200,1643261400,16988.55,16957.05,31.5,-0.0,Thursday,1,16954.5729,17005.538549999997,20,1,0,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
