day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,entry_time_read
2022-12-28,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1672199940,1672200180,18089.8,18114.0,-24.2,-0.0,Wednesday,1,18053.6204,18107.889799999997,10,1,-1,0,1672199940,True,0,0.0,0,0.0,0.0,INSIDE_VA,1,0,-10.200000000000728,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.08,0.25,1,0.64,0.18,0.24,0.58,0.38,1,0.0003,0.75,1,0,1,1,0,2022-12-28 09:29:00
2022-12-26,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1672027740,1672028340,17942.85,17938.8,-4.05,-0.0,Monday,1,17978.735699999997,17924.90715,10,1,0,0,1672027740,True,0,0.53,0,0.5,0.62,INSIDE_VA,1,0,42.849999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.27,0.57,-1,0.0,0.18,0.12,0.7,0.0,-1,-0.005,-1.62,0,1,0,0,0,2022-12-26 09:39:00
2022-12-26,NIFTY,CDL3OUTSIDE_BUY_5_10,SIG_1,1,1,1672028040,1672028640,17943.7,17938.35,-5.35,-0.0,Monday,1,17979.5874,17925.7563,10,1,0,0,1672028040,True,0,0.59,0,0.58,0.62,INSIDE_VA,1,0,43.70000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.27,0.57,-1,0.0,0.18,0.12,0.7,0.0,-1,-0.005,-1.62,0,1,0,0,0,2022-12-26 09:44:00
2022-12-23,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1671768840,1671769440,18021.1,17982.85,38.25,0.0,Friday,1,17985.0578,18039.121099999997,10,1,1,0,1671768840,True,0,0.12,0,0.12,0.12,GAP_DOWN,1,0,21.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 09:44:00
2022-12-19,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1671422640,1671423240,18302.5,18298.65,-3.85,-0.0,Monday,1,18339.105,18284.1975,10,1,0,0,1671422640,True,0,0.12,0,0.12,0.12,BELOW_VA,1,0,2.5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.66,0.23,-1,0.29,0.03,0.15,0.82,0.2,-1,-0.0037,-1.56,0,1,0,0,0,2022-12-19 09:34:00
2022-12-19,NIFTY,CDL3OUTSIDE_BUY_5_10,SIG_1,1,1,1671422940,1671423540,18305.15,18294.1,-11.05,-0.0,Monday,1,18341.7603,18286.84485,10,1,0,0,1671422940,True,0,0.26,0,0.3,0.12,BELOW_VA,1,0,5.150000000001455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.66,0.23,-1,0.29,0.03,0.15,0.82,0.2,-1,-0.0037,-1.56,0,1,0,0,0,2022-12-19 09:39:00
2022-12-16,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1671163740,1671164340,18396.85,18376.1,20.75,0.0,Friday,1,18360.0563,18415.246849999996,10,1,0,0,1671163740,True,0,0.26,0,0.35,0.0,GAP_DOWN,1,0,-3.150000000001455,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 09:39:00
2022-12-16,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1671164040,1671164640,18382.5,18368.4,14.1,0.0,Friday,1,18345.735,18400.8825,10,1,0,0,1671164040,True,0,0.12,0,0.17,0.0,GAP_DOWN,1,0,-17.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 09:44:00
2022-12-15,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1671076740,1671077100,18612.2,18569.35,42.85,0.0,Thursday,1,18574.9756,18630.8122,10,1,1,0,1671076740,True,0,-0.19,0,-0.17,-0.25,GAP_DOWN,1,0,12.200000000000728,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 09:29:00
2022-12-15,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1671077040,1671077640,18579.65,18587.2,-7.55,0.0,Thursday,1,18542.490700000002,18598.22965,10,1,0,0,1671077040,True,0,-0.44,0,-0.38,-0.62,GAP_DOWN,1,0,-20.349999999998545,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 09:34:00
