day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-12-23,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1671768840,1671769440,18021.1,17982.85,38.25,0.0,Friday,1,17985.0578,18039.121099999997,10,1,1,0,1671768840,True,0,0.12,0.0,0.12,0.12,GAP_DOWN,1,0.0,21.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,,,,,,,,,,,,2022-12-23 09:44:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671772440,1671773340,17939.75,17946.35,6.6,0.0,Friday,1,17975.6295,17921.81025,15,1,0,0,1671772440,True,0,-0.16,-0.19,-0.15,-0.29,GAP_DOWN,3,0.0,39.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,0.1298,-0.6599,0.87,0.95,0.51,0.6096,-0.0996,0.82,0.4,0.7919,0.2179,2022-12-23 10:44:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671781740,1671782640,17892.55,17886.3,-6.25,0.0,Friday,1,17928.3351,17874.65745,15,1,0,0,1671781740,True,0,-0.16,-0.12,-0.11,-0.18,GAP_DOWN,9,0.15,-7.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,-0.0308,-0.1615,0.98,0.99,0.49,0.5247,-0.0347,0.71,0.34,0.4544,-0.0028,2022-12-23 13:19:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671785040,1671785940,17834.85,17867.25,32.4,0.0,Friday,1,17870.519699999997,17817.01515,15,1,0,0,1671785040,True,0,-0.16,-0.12,-0.11,-0.16,GAP_DOWN,10,0.12,34.849999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,-0.0012,-0.2414,0.98,1.0,0.49,0.5314,-0.0414,0.72,0.35,0.4488,-0.0073,2022-12-23 14:14:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671785940,1671786840,17867.25,17854.1,-13.15,0.0,Friday,1,17902.9845,17849.38275,15,1,0,0,1671785940,True,0,-0.16,-0.11,-0.1,-0.13,GAP_DOWN,11,0.12,-32.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,-0.0071,-0.2075,0.98,1.0,0.49,0.5263,-0.0363,0.7,0.36,0.3866,-0.0582,2022-12-23 14:29:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671683640,1671684240,18186.85,18161.55,-25.3,0.0,Thursday,1,18223.2237,18168.66315,15,1,-1,0,1671683640,True,0,-0.29,0.0,-0.3,-0.25,INSIDE_VA,2,0.0,-13.150000000001455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,,,,,,,,,,,,2022-12-22 10:04:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671689940,1671690840,18090.35,18085.95,-4.4,-0.0,Thursday,1,18126.5307,18072.25965,15,1,0,0,1671689940,True,0,-0.3,-0.25,-0.19,-0.41,INSIDE_VA,6,0.0,-9.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,0.0811,-0.5409,0.89,0.94,0.44,0.5313,-0.0913,0.73,0.33,0.6944,0.1058,2022-12-22 11:49:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671693240,1671693780,18089.15,18069.85,-19.3,-0.0,Thursday,1,18125.3283,18071.06085,15,1,-1,0,1671693240,True,0,-0.3,-0.19,-0.14,-0.34,INSIDE_VA,7,0.0,-10.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,0.031,-0.35,0.95,0.99,0.45,0.5118,-0.0618,0.7,0.33,0.5288,0.0148,2022-12-22 12:44:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671699540,1671700320,18145.8,18111.6,-34.2,0.0,Thursday,1,18182.0916,18127.6542,15,1,-1,0,1671699540,True,0,-0.3,-0.11,-0.09,-0.19,INSIDE_VA,11,0.0,45.79999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,0.0289,-0.3602,0.96,0.99,0.44,0.5001,-0.0601,0.7,0.3,0.598,0.0439,2022-12-22 14:29:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1671700140,1671700320,18140.55,18111.6,-28.95,0.0,Thursday,1,18176.8311,18122.40945,15,1,-1,0,1671700140,True,0,-0.3,-0.11,-0.08,-0.19,INSIDE_VA,11,0.0,40.54999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,0.0245,-0.3511,0.96,0.99,0.43,0.4929,-0.0629,0.7,0.29,0.6039,0.0404,2022-12-22 14:39:00
