day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pattern_time,pattern_price,strength,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671079440,1671080340,18565.05,18589.5,24.45,0.0,Thursday,1,18602.180099999998,18546.48495,15,1,0,0,1671079440,True,0,GAP_DOWN,2,0.0,-0.3,0.0,-0.23,-0.5,-34.95000000000073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,[1671079200],"[[18577.65, 18578.25, 18558.9, 18565.05]]",100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-12-15 10:14:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1670563140,1670564040,18560.55,18564.15,3.6,0.0,Friday,1,18597.6711,18541.98945,15,1,0,0,1670563140,True,0,GAP_UP,4,0.0,-0.08,-0.18,-0.12,-0.36,-39.45000000000073,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670562900],"[[18568.6, 18568.95, 18549.05, 18560.55]]",100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1267,-0.61,0.81,0.89,0.55,0.6352,-0.0852,0.84,0.43,1.1517,0.3766,2022-12-09 10:49:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1670563740,1670564640,18556.35,18554.35,-2.0,0.0,Friday,1,18593.4627,18537.79365,15,1,0,0,1670563740,True,0,GAP_UP,4,0.0,-0.08,-0.18,-0.12,-0.36,-43.650000000001455,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670563500],"[[18550.6, 18562.1, 18548.35, 18556.35]]",100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1996,-0.7886,0.66,0.77,0.58,0.6807,-0.1007,0.87,0.5,1.4704,0.4669,2022-12-09 10:59:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1670564940,1670565840,18541.75,18544.55,2.8,0.0,Friday,1,18578.8335,18523.20825,15,1,0,0,1670564940,True,0,GAP_UP,5,0.0,-0.08,-0.18,-0.12,-0.36,41.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670564700],"[[18554.25, 18555.0, 18537.8, 18541.75]]",100,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2562,-0.9168,0.5,0.64,0.53,0.6529,-0.1229,0.81,0.5,1.7504,0.4579,2022-12-09 11:19:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1670571840,1670572740,18490.4,18492.3,1.9,-0.0,Friday,1,18527.380800000003,18471.909600000003,15,1,0,0,1670571840,True,0,GAP_UP,8,0.0,-0.08,-0.15,-0.13,-0.22,-9.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670571600],"[[18491.2, 18499.0, 18482.75, 18490.4]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1686,-0.6845,0.74,0.86,0.48,0.5765,-0.0965,0.73,0.42,1.56,0.3837,2022-12-09 13:14:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1670572440,1670573340,18487.3,18488.6,1.3,-0.0,Friday,1,18524.2746,18468.8127,15,1,0,0,1670572440,True,0,GAP_UP,9,0.0,-0.08,-0.18,-0.16,-0.25,-12.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670572200],"[[18490.7, 18491.0, 18483.5, 18487.3]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1727,-0.7064,0.76,0.87,0.48,0.5777,-0.0977,0.74,0.42,1.4747,0.3675,2022-12-09 13:24:00
2022-12-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1670574840,1670575320,18473.45,18453.55,-19.9,-0.0,Friday,1,18510.3969,18454.97655,15,1,-1,0,1670574840,True,0,GAP_UP,10,0.0,-0.08,-0.14,-0.13,-0.16,-26.549999999999272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,[1670574600],"[[18470.75, 18479.2, 18454.45, 18473.45]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1714,-0.6994,0.75,0.87,0.47,0.5609,-0.0909,0.72,0.4,1.5017,0.3568,2022-12-09 14:04:00
2022-12-02,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1669954440,1669955340,18713.15,18712.9,-0.25,0.0,Friday,1,18750.5763,18694.436850000002,15,1,0,0,1669954440,True,0,GAP_DOWN,1,0.0,-0.31,0.0,-0.21,-0.62,13.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.21,0.14,0.65,-1,0.35,0.05,0.18,0.77,0.19,1,0.003,0.84,1,0,0,0,0,[1669954200],"[[18726.65, 18731.25, 18712.15, 18713.15]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-12-02 09:44:00
2022-12-01,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1669868940,1669869840,18843.0,18843.55,0.55,0.0,Thursday,1,18880.686,18824.157,15,1,0,0,1669868940,True,0,GAP_UP,2,0.0,-0.06,0.0,-0.06,-0.08,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.18,0.77,1,0.31,0.0,0.56,0.44,0.49,1,0.0,0.67,1,0,1,1,1,[1669868700],"[[18843.9, 18844.4, 18832.85, 18843.0]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-12-01 09:59:00
2022-12-01,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1669870140,1669871040,18822.6,18827.05,4.45,0.0,Thursday,1,18860.245199999998,18803.7774,15,1,0,0,1669870140,True,0,GAP_UP,3,0.0,-0.11,-0.06,-0.06,-0.05,22.599999999998545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.18,0.77,1,0.31,0.0,0.56,0.44,0.49,1,0.0,0.67,1,0,1,1,1,[1669869900],"[[18843.55, 18843.65, 18821.25, 18822.6]]",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3198,-1.1386,0.45,0.58,0.48,0.6072,-0.1272,0.8,0.41,1.4885,0.3722,2022-12-01 10:19:00
