day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pattern_time,pattern_price,strength,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,entry_time_read
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671772440,1671773340,17939.75,17946.35,6.6,0.0,Friday,1,17975.6295,17921.81025,15,1,0,0,1671772440,True,0,GAP_DOWN,3,0.0,-0.16,-0.19,-0.15,-0.29,0.1298,-0.6599,0.87,0.95,0.51,0.6096,-0.0996,0.82,0.4,0.7919,0.2179,39.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,[1671772200],"[[17934.65, 17944.0, 17933.7, 17939.75]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-23 10:44:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671781740,1671782640,17892.55,17886.3,-6.25,0.0,Friday,1,17928.3351,17874.65745,15,1,0,0,1671781740,True,0,GAP_DOWN,9,0.15,-0.16,-0.12,-0.11,-0.18,-0.0308,-0.1615,0.98,0.99,0.49,0.5247,-0.0347,0.71,0.34,0.4544,-0.0028,-7.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,[1671781500],"[[17898.0, 17911.8, 17891.2, 17892.55]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-23 13:19:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671785040,1671785940,17834.85,17867.25,32.4,0.0,Friday,1,17870.519699999997,17817.01515,15,1,0,0,1671785040,True,0,GAP_DOWN,10,0.12,-0.16,-0.12,-0.11,-0.16,-0.0012,-0.2414,0.98,1.0,0.49,0.5314,-0.0414,0.72,0.35,0.4488,-0.0073,34.849999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,[1671784800],"[[17848.85, 17852.9, 17833.0, 17834.85]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-23 14:14:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671785940,1671786840,17867.25,17854.1,-13.15,0.0,Friday,1,17902.9845,17849.38275,15,1,0,0,1671785940,True,0,GAP_DOWN,11,0.12,-0.16,-0.11,-0.1,-0.13,-0.0071,-0.2075,0.98,1.0,0.49,0.5263,-0.0363,0.7,0.36,0.3866,-0.0582,-32.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,[1671785700],"[[17834.3, 17869.5, 17834.3, 17867.25]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-23 14:29:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671683640,1671684240,18186.85,18161.55,-25.3,0.0,Thursday,1,18223.2237,18168.66315,15,1,-1,0,1671683640,True,0,INSIDE_VA,2,0.0,-0.29,0.0,-0.3,-0.25,,,,,,,,,,,,-13.150000000001455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,[1671683400],"[[18230.65, 18235.05, 18182.55, 18186.85]]",100,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2022-12-22 10:04:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671689940,1671690840,18090.35,18085.95,-4.4,-0.0,Thursday,1,18126.5307,18072.25965,15,1,0,0,1671689940,True,0,INSIDE_VA,6,0.0,-0.3,-0.25,-0.19,-0.41,0.0811,-0.5409,0.89,0.94,0.44,0.5313,-0.0913,0.73,0.33,0.6944,0.1058,-9.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,[1671689700],"[[18112.1, 18114.65, 18087.0, 18090.35]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-22 11:49:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671693240,1671693780,18089.15,18069.85,-19.3,-0.0,Thursday,1,18125.3283,18071.06085,15,1,-1,0,1671693240,True,0,INSIDE_VA,7,0.0,-0.3,-0.19,-0.14,-0.34,0.031,-0.35,0.95,0.99,0.45,0.5118,-0.0618,0.7,0.33,0.5288,0.0148,-10.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,[1671693000],"[[18108.55, 18109.8, 18087.45, 18089.15]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-22 12:44:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671699540,1671700320,18145.8,18111.6,-34.2,0.0,Thursday,1,18182.0916,18127.6542,15,1,-1,0,1671699540,True,0,INSIDE_VA,11,0.0,-0.3,-0.11,-0.09,-0.19,0.0289,-0.3602,0.96,0.99,0.44,0.5001,-0.0601,0.7,0.3,0.598,0.0439,45.79999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,[1671699300],"[[18169.75, 18174.05, 18130.65, 18145.8]]",100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-22 14:29:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1671700140,1671700320,18140.55,18111.6,-28.95,0.0,Thursday,1,18176.8311,18122.40945,15,1,-1,0,1671700140,True,0,INSIDE_VA,11,0.0,-0.3,-0.11,-0.08,-0.19,0.0245,-0.3511,0.96,0.99,0.43,0.4929,-0.0629,0.7,0.29,0.6039,0.0404,40.54999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,[1671699900],"[[18151.2, 18152.0, 18130.4, 18140.55]]",100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-22 14:39:00
2022-12-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671171840,1671172260,18320.85,18301.1,-19.75,0.0,Friday,1,18357.4917,18302.52915,15,1,-1,0,1671171840,True,0,GAP_DOWN,6,0.71,-0.22,-0.17,-0.16,-0.2,0.0595,-0.3275,0.85,0.92,0.55,0.596,-0.046,0.73,0.46,1.9607,0.4855,20.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,[1671171600],"[[18326.25, 18327.95, 18317.25, 18320.85]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-16 11:54:00
