day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,entry_time_read,exit_time_read
04/10/23,NIFTY_19400_PE,DayBeforeExpiry,SIG_1,1,-1,1696413000,1696478040,34,3.3,30.7,0,Wednesday,1,19400_PE,200,LONG,,,,3.4,102,90000000,1,IT,19438.05,19531.55,1696413000,,13,19438.05,0.06,0.05,0.01,0.01,0.02,0.0494,-0.3616,0.94,0.99,0.53,0.5842,-0.0542,0.74,0.42,1.2634,0.3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,1.49,1.67,4737550,5291600,1.54,2.06,-0.2,put_covering,-0.008,0.001,-0.01,0,1.33,0.56,-3.83,0.5625,0,1.15,0.91,1.07,0.08,0.45,-0.82,0.184,0.234,0.132,0.42,-0.049,-0.288,04/10/23 15:20,05/10/23 9:24
11/10/23,NIFTY_19800_PE,DayBeforeExpiry,SIG_1,1,-1,1697017800,1697100900,46.35,6.95,39.4,0,Wednesday,1,19800_PE,200,LONG,,,,4.635,139.05,90000000,1,EC,19803.7,19795.35,1697017800,,13,19803.7,0.11,-0.05,0.04,0.03,0.07,0.0461,-0.3775,0.94,0.99,0.48,0.5357,-0.0557,0.71,0.36,0.4702,-0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,1.37,2.07,4341600,6564750,2.11,2.94,0.47,neutral,0,-0.002,0.001,0.002,1.08,2.63,-2.18,0.444444444,0.4375,0.35,0.63,0.5,-0.08,-12.37,0.61,0.17,0.42,0.155,0.226,-0.25,-0.071,11/10/23 15:20,12/10/23 14:25
18/10/23,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1697622600,1697705700,61.35,53.5,7.85,0,Wednesday,1,19700_PE,200,LONG,,,,6.135,184.05,90000000,1,EC,19664.65,19643.65,1697622600,,13,19664.65,0.32,0.08,-0.01,-0.01,-0.03,0.0732,-0.4535,0.92,0.98,0.5,0.5643,-0.0643,0.75,0.37,1.0355,0.2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.37,2.74,1.66,8684900,5265850,3.51,2.28,-0.37,neutral,0.002,0.003,-0.001,0,0.77,0.58,0.35,0.6,0.222222222,0.22,0.45,0.31,0.3,0.48,0.1,0.139,0.236,0.189,0.419,-0.097,-0.23,18/10/23 15:20,19/10/23 14:25
25/10/23,NIFTY_19100_PE,DayBeforeExpiry,SIG_1,1,-1,1698227400,1698293400,54.7,168.8,-114.1,0,Wednesday,1,19100_PE,200,LONG,,,,5.47,164.1,90000000,1,IS,19105.4,18949.55,1698227400,,13,19105.4,0.32,0,-0.08,-0.07,-0.13,0.0752,-0.4742,0.92,0.98,0.43,0.505,-0.075,0.7,0.31,0.5805,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45,2.25,1.41,9879850,6185650,1.98,1.3,-0.45,both_covering,-0.021,-0.009,-0.012,-0.003,1.75,0.4,-0.16,0.1875,0.473684211,0.55,0.15,0.48,-0.57,0.81,-5.58,0.149,0.12,0.104,0.538,0.029,-0.434,25/10/23 15:20,26/10/23 9:40
01/11/23,NIFTY_19000_PE,DayBeforeExpiry,SIG_1,1,-1,1698832200,1698896700,68.55,5.45,63.1,0,Wednesday,1,19000_PE,200,LONG,,,,6.855,205.65,90000000,1,IT,18975.45,19137.1,1698832200,,13,18975.45,0.23,0.17,0.01,0.01,0.02,0.1137,-0.5895,0.88,0.96,0.41,0.492,-0.082,0.69,0.29,0.9027,0.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22,2.27,1.52,7205900,4836800,3.21,2.1,-0.22,neutral,-0.001,0.002,-0.003,0,1,0.61,0.19,0.35,0.333333333,0.07,0.4,0.21,0.31,0.4,0.23,0.136,0.27,0.167,0.387,-0.133,-0.22,01/11/23 15:20,02/11/23 9:15
08/11/23,NIFTY_19400_PE,DayBeforeExpiry,SIG_1,1,-1,1699437000,1699516320,28.5,2.35,26.15,0,Wednesday,1,19400_PE,200,LONG,,,,2.85,85.5,90000000,1,IT,19443.35,19438.8,1699437000,,13,19443.35,0.21,0.06,0.04,0.03,0.05,0.0616,-0.4179,0.93,0.99,0.5,0.5646,-0.0646,0.75,0.38,0.9675,0.2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,1.4,1.2,4436800,3823700,2.33,2.16,0.07,both_build_up,0.019,0.011,0.008,0,1.29,0.82,-0.31,0.6,0.153846154,0.19,0.4,0.31,0.18,-0.65,0.58,0.205,0.304,0.2,0.265,-0.099,-0.065,08/11/23 15:20,09/11/23 13:22
15/11/23,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1700041800,1700113080,54.5,5.25,49.25,0,Wednesday,1,19700_PE,200,LONG,,,,5.45,163.5,90000000,1,IT,19681.55,19777.5,1700041800,,13,19681.55,0.01,0,0.03,0.02,0.07,0.1096,-0.57,0.89,0.96,0.44,0.5294,-0.0894,0.72,0.34,0.9616,0.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,1.34,1.95,4243150,6201050,2.53,3.92,0.26,call_buildup,0.009,0.009,0,0,0.68,2.52,-1.96,0.315789474,0.285714286,0.57,0.45,0.45,-0.34,-4.33,0.72,0.151,0.404,0.203,0.193,-0.253,0.01,15/11/23 15:20,16/11/23 11:08
22/11/23,NIFTY_19800_PE,DayBeforeExpiry,SIG_1,1,-1,1700646600,1700729700,26.55,6.3,20.25,0,Wednesday,1,19800_PE,200,LONG,,,,2.655,79.65,90000000,1,EC,19804.7,19808.95,1700646600,,13,19804.7,0.91,0.23,0.02,0.02,0.05,0.1068,-0.563,0.89,0.96,0.42,0.5026,-0.0826,0.69,0.31,0.9207,0.1767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,1.53,1.59,4861850,5056400,1.94,2.08,-0.07,neutral,-0.003,0,-0.004,0,1.25,1.73,-2.49,0.277777778,0.235294118,0.9,0.6,0.76,0.17,0.01,0.32,0.178,0.299,0.186,0.322,-0.121,-0.135,22/11/23 15:20,23/11/23 14:25
29/11/23,NIFTY_20100_PE,DayBeforeExpiry,SIG_1,1,-1,1701251400,1701318900,30.95,100.25,-69.3,0,Wednesday,1,20100_PE,200,LONG,,,,3.095,92.85,90000000,1,IS,20097.4,20023.2,1701251400,,13,20097.4,0.46,-0.09,0.06,0.04,0.09,2.0457,-7.2278,0.46,0.59,0.68,1.6462,-0.9662,2.86,0.44,0.8648,0.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,1.15,1.69,5050100,7417450,1.72,2.73,0.58,put_covering,-0.016,-0.003,-0.013,-0.01,1.05,2.33,-5.03,0.315789474,0.210526316,0.22,0.47,0.42,-0.3,-1.18,0.74,0.178,0.432,0.162,0.154,-0.254,0.007,29/11/23 15:20,30/11/23 10:05
06/12/23,NIFTY_20900_PE,DayBeforeExpiry,SIG_1,1,-1,1701856200,1701939300,38.1,5.85,32.25,0,Wednesday,1,20900_PE,200,LONG,,,,3.81,114.3,90000000,1,EC,20925.35,20909.3,1701856200,,13,20925.35,0.06,0.11,0.09,0.07,0.15,0.0791,-0.4247,0.89,0.97,0.5,0.5668,-0.0668,0.72,0.42,1.535,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.94,0.69,2.3,2175800,7291200,1.54,2.6,1.94,neutral,-0.008,-0.003,-0.004,-0.001,1.35,inf,-0.92,0.25,0.4375,,0.94,0.74,-1.71,6.35,0.83,0.18,0.566,0.169,0,-0.387,0.169,06/12/23 15:20,07/12/23 14:25
