day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,entry_time_read,exit_time_read
04/10/23,NIFTY_19300_PE,DayBeforeExpiry,SIG_1,1,-1,1696412700,1696477800,10.2,1.3,8.9,0,Wednesday,1,19300_PE,200,LONG,,,,1.02,30.6,90000000,1,EC,19439.6,19535.95,1696412700,,13,19439.6,0.06,0.05,0.01,0.01,0.01,0.0495,-0.3618,0.94,0.99,0.52,0.5834,-0.0634,0.74,0.42,1.2676,0.3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,2.66,2.63,8442900,8345550,2.76,3.3,-0.19,neutral,0.004,0,0.004,0.005,0.94,0.65,-0.23,0.6,0,1.13,0.49,0.82,0.09,0.43,-0.77,0.189,0.234,0.134,0.413,-0.045,-0.279,04/10/23 15:15,05/10/23 9:20
11/10/23,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1697017500,1697082600,16.15,3.95,12.2,0,Wednesday,1,19700_PE,200,LONG,,,,1.615,48.45,90000000,1,EC,19809.65,19824.95,1697017500,,13,19809.65,0.11,-0.05,0.05,0.03,0.08,0.0486,-0.3845,0.94,0.99,0.48,0.5368,-0.0568,0.71,0.36,0.4702,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,2,2.64,6342250,8386800,3.14,3.83,0.46,put_buildup,0.011,0.005,0.006,0,1.11,1.61,0.63,0.421052632,0.928571429,0.69,0.41,0.54,-0.07,-12.28,0.62,0.172,0.417,0.16,0.222,-0.245,-0.062,11/10/23 15:15,12/10/23 9:20
18/10/23,NIFTY_19600_PE,DayBeforeExpiry,SIG_1,1,-1,1697622300,1697687160,21.4,65.75,-44.35,0,Wednesday,1,19600_PE,200,LONG,,,,2.14,64.2,90000000,1,IS,19670,19536.1,1697622300,,13,19670,0.32,0.08,-0.01,-0.01,-0.02,0.0743,-0.4565,0.91,0.98,0.49,0.5635,-0.0735,0.75,0.37,1.039,0.2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.37,2.85,1.59,9052650,5032850,3.7,2.19,-0.37,put_buildup,0.009,0.001,0.008,0,0.83,0.78,-9.15,0.375,0.588235294,0.43,0.71,0.53,0.29,0.46,0.1,0.142,0.233,0.193,0.415,-0.091,-0.222,18/10/23 15:15,19/10/23 9:16
25/10/23,NIFTY_19000_PE,DayBeforeExpiry,SIG_1,1,-1,1698227100,1698292200,21.1,56.15,-35.05,0,Wednesday,1,19000_PE,200,LONG,,,,2.11,63.3,90000000,1,EC,19133.35,18997.35,1698227100,,13,19133.35,0.32,0,-0.08,-0.06,-0.12,0.0803,-0.4901,0.92,0.98,0.43,0.5068,-0.0768,0.7,0.31,0.6003,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43,1.63,1.43,7140650,6270500,1.46,1.34,-0.43,neutral,0.001,0.002,-0.001,0,1.33,0.43,0.04,0.263157895,0.631578947,0.7,-0.53,0.46,-0.55,0.78,-5.36,0.152,0.12,0.104,0.534,0.032,-0.43,25/10/23 15:15,26/10/23 9:20
01/11/23,NIFTY_18900_PE,DayBeforeExpiry,SIG_1,1,-1,1698831900,1698896700,30.25,1.75,28.5,0,Wednesday,1,18900_PE,200,LONG,,,,3.025,90.75,90000000,1,IT,18983.2,19137.1,1698831900,,13,18983.2,0.23,0.17,0.02,0.01,0.02,0.1157,-0.5945,0.88,0.96,0.41,0.4916,-0.0816,0.69,0.29,0.9171,0.1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23,2.31,2.41,7323050,7656650,3.3,3.34,-0.23,call_buildup,0.014,0.01,0.002,0,1.32,0.68,-0.22,0.611111111,0.235294118,0.14,1.27,0.65,0.3,0.39,0.22,0.141,0.267,0.171,0.383,-0.125,-0.212,01/11/23 15:15,02/11/23 9:15
08/11/23,NIFTY_19300_PE,DayBeforeExpiry,SIG_1,1,-1,1699436700,1699501800,6.4,4.2,2.2,0,Wednesday,1,19300_PE,200,LONG,,,,0.64,19.2,90000000,1,EC,19446.75,19412.55,1699436700,,13,19446.75,0.21,0.06,0.03,0.03,0.04,0.0604,-0.4152,0.93,0.99,0.5,0.5639,-0.0639,0.75,0.38,0.4641,0.0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1.9,1.22,6029250,3876350,3.19,2.21,0.08,put_buildup,0.014,0.002,0.012,0,0.9,0.82,6.33,0.4,0.333333333,-0.1,0.73,0.36,0.17,-0.67,0.58,0.204,0.306,0.206,0.257,-0.101,-0.052,08/11/23 15:15,09/11/23 9:20
15/11/23,NIFTY_19600_PE,DayBeforeExpiry,SIG_1,1,-1,1700041500,1700106600,17.25,15.05,2.2,0,Wednesday,1,19600_PE,200,LONG,,,,1.725,51.75,90000000,1,EC,19676.9,19629.5,1700041500,,13,19676.9,0.01,0,0.03,0.01,0.06,0.1103,-0.5708,0.89,0.96,0.44,0.529,-0.089,0.72,0.34,0.9785,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28,1.62,1.97,5132800,6261800,3.1,4.04,0.28,neutral,-0.001,0.001,-0.001,0,0.56,3.44,-0.89,0.368421053,0.75,1.1,0.62,0.82,-0.36,-4.36,0.72,0.151,0.407,0.205,0.186,-0.256,0.019,15/11/23 15:15,16/11/23 9:20
22/11/23,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1700646300,1700711400,7.3,3.55,3.75,0,Wednesday,1,19700_PE,200,LONG,,,,0.73,21.9,90000000,1,EC,19813.35,19834.9,1700646300,,13,19813.35,0.91,0.23,0.03,0.02,0.05,0.1047,-0.556,0.89,0.97,0.42,0.5019,-0.0819,0.69,0.31,0.9227,0.1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06,2.06,2.54,6551400,8071900,2.64,3.41,-0.06,neutral,0.008,0.003,0.005,0,1.04,1.29,2.82,0.529411765,0.0625,0.94,0.54,0.74,0.16,-0.01,0.34,0.181,0.297,0.189,0.319,-0.116,-0.13,22/11/23 15:15,23/11/23 9:20
29/11/23,NIFTY_20000_PE,DayBeforeExpiry,SIG_1,1,-1,1701251100,1701316200,12.3,8.25,M,0,Wednesday,1,20000_PE,200,LONG,,,,1.23,36.9,90000000,1,EC,20103.6,20113,1701251100,,13,20103.6,0.46,-0.09,0.06,0.04,0.1,2.0457,-7.2278,0.46,0.59,0.68,1.6462,-0.9662,2.86,0.44,0.8648,0.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.61,1.84,1.9,8072850,8335900,2.78,3.11,0.61,put_covering,-0.01,-0.002,-0.008,-0.006,0.84,1.87,-46.62,0.263157895,0.5,-0.34,0.18,0.14,-0.29,-1.17,0.74,0.179,0.436,0.164,0.15,-0.257,0.014,29/11/23 15:15,30/11/23 9:20
06/12/23,NIFTY_20800_PE,DayBeforeExpiry,SIG_1,1,-1,1701855900,1701921000,13.85,15.85,-2,0,Wednesday,1,20800_PE,200,LONG,,,,1.385,41.55,90000000,1,EC,20934.1,20883.7,1701855900,,13,20934.1,0.06,0.11,0.09,0.07,0.15,0.0804,-0.428,0.89,0.97,0.5,0.5672,-0.0672,0.71,0.42,1.5396,0.3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0.98,3.02,3101500,9586400,2.21,3.45,1.88,neutral,-0.003,0.002,-0.005,0,1.5,inf,-2.11,0.2,0,,0.44,0.45,-1.85,6.68,0.84,0.181,0.561,0.17,0,-0.38,0.17,06/12/23 15:15,07/12/23 9:20
