day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,1,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,1,17707.0,18418.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,2,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,2,17725.0,18400.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,3,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,3,17743.0,18382.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,4,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,4,17762.0,18364.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,5,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,5,17780.0,18345.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,6,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,6,17798.0,18327.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,7,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,7,17816.0,18309.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,8,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,8,17834.0,18291.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,9,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,9,17853.0,18272.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,10,1642563960,1642585560,18052.6,17944.6,108.0,0.0,Wednesday,10,17871.0,18245.0,360,1,0,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,11,1642563960,1642579620,18052.6,17888.05,164.55,0.0,Wednesday,11,17889.0,18218.0,360,1,1,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,12,1642563960,1642576440,18052.6,17903.8,148.8,0.0,Wednesday,12,17907.0,18199.0,360,1,1,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
2022-01-19,NIFTY,STATE_SELL_1_360,SIG_1,13,1642563960,1642575960,18052.6,17920.75,131.85,0.0,Wednesday,13,17926.0,18181.0,360,1,1,0,1642563960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.400000000001455,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1642563960],[18052.6],0,0,0,0,0,0,0,0,0,2022-01-19 09:16:00
