day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2022-12-29,NIFTY_17800_PE,OPTION_PRICE_DROP,SIG_1,1,1,1672285680,1672285800,3.7,4.6,0.9,0.0,Thursday,1,17800_PE,0,SHORT,,,,4.07,1.85,60.0,1,IT,18043.55,18013.6,1672285680,GAP_DOWN,1,18043.55,0.0,0.0,0.0,0.0,0.0,43.54999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:18:00,2022-12-29 09:20:00
2022-12-29,NIFTY_18200_CE,OPTION_PRICE_DROP,SIG_2,1,1,1672285740,1672286040,3.85,4.45,0.6,0.0,Thursday,1,18200_CE,0,LONG,,,,4.235,1.925,60.0,1,IT,18029.25,18040.45,1672285740,GAP_DOWN,1,18029.25,0.0,-0.25,0.0,-0.25,-0.25,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:19:00,2022-12-29 09:24:00
2022-12-29,NIFTY_18000_CE,OPTION_PRICE_DROP,SIG_3,1,1,1672285920,1672286280,60.75,72.4,11.65,-0.0,Thursday,1,18000_CE,0,LONG,,,,66.825,30.375,60.0,1,IT,18030.35,18051.2,1672285920,GAP_DOWN,1,18030.35,0.0,-0.09,0.0,-0.12,0.0,30.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,379.3762500000802,3.161468750000668,1.8363641614162605,0.0,-1.0,-1.8363641614162605,0.0,-3.161468750000668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:22:00,2022-12-29 09:28:00
2022-12-29,NIFTY_17800_PE,OPTION_PRICE_DROP,SIG_4,1,1,1672285980,1672289580,3.75,2.8,-0.95,0.0,Thursday,1,17800_PE,0,SHORT,,,,4.125,1.875,60.0,1,TC,18037.15,18008.4,1672285980,GAP_DOWN,1,18037.15,0.0,-0.09,0.0,-0.12,0.0,37.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,379.3762500000802,3.161468750000668,1.8363641614162605,0.0,-1.0,-1.8363641614162605,0.0,-3.161468750000668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:23:00,2022-12-29 10:23:00
2022-12-29,NIFTY_18000_CE,OPTION_PRICE_DROP,SIG_5,1,1,1672286100,1672286280,61.05,72.4,11.35,-0.0,Thursday,1,18000_CE,0,LONG,,,,67.155,30.525,60.0,1,IT,18033.65,18051.2,1672286100,GAP_DOWN,1,18033.65,0.0,-0.19,0.0,-0.25,0.0,33.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:25:00,2022-12-29 09:28:00
2022-12-29,NIFTY_18200_CE,OPTION_PRICE_DROP,SIG_6,1,1,1672286220,1672286280,4.05,4.5,0.45,0.0,Thursday,1,18200_CE,0,LONG,,,,4.455,2.025,60.0,1,IT,18040.1,18051.2,1672286220,GAP_DOWN,1,18040.1,0.0,-0.06,0.0,-0.08,0.0,40.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:27:00,2022-12-29 09:28:00
2022-12-29,NIFTY_17900_PE,OPTION_PRICE_DROP,SIG_7,1,1,1672286280,1672286700,8.6,9.8,1.2,0.0,Thursday,1,17900_PE,0,SHORT,,,,9.46,4.3,60.0,1,IT,18051.2,18029.9,1672286280,GAP_DOWN,1,18051.2,0.0,-0.06,0.0,-0.08,0.0,-48.79999999999927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:28:00,2022-12-29 09:35:00
2022-12-29,NIFTY_17600_PE,OPTION_PRICE_DROP,SIG_8,1,1,1672286340,1672286400,1.0,1.1,0.1,0.0,Thursday,1,17600_PE,0,SHORT,,,,1.1,0.5,60.0,1,IT,18057.7,18047.95,1672286340,GAP_DOWN,1,18057.7,0.0,0.25,0.0,0.25,0.25,-42.29999999999927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,,,,,,,,,,,,2022-12-29 09:29:00,2022-12-29 09:30:00
2022-12-29,NIFTY_17900_PE,OPTION_PRICE_DROP,SIG_9,1,1,1672286520,1672286700,8.5,9.8,1.3,0.0,Thursday,1,17900_PE,0,SHORT,,,,9.350000000000001,4.25,60.0,1,IT,18050.6,18029.9,1672286520,GAP_DOWN,1,18050.6,0.0,0.09,0.0,0.12,0.0,-49.400000000001455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,1373.8312500001775,11.44859375000148,3.4945433654964004,0.0,0.45,2.338240078919789,0.0,5.1256562500001435,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:32:00,2022-12-29 09:35:00
2022-12-29,NIFTY_18200_CE,OPTION_PRICE_DROP,SIG_10,1,1,1672286580,1672290180,4.1,2.25,-1.85,0.0,Thursday,1,18200_CE,0,LONG,,,,4.51,2.05,60.0,1,TC,18049.25,18009.5,1672286580,GAP_DOWN,1,18049.25,0.0,0.09,0.0,0.12,0.0,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,1373.8312500001775,11.44859375000148,3.4945433654964004,0.0,0.45,2.338240078919789,0.0,5.1256562500001435,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,2022-12-29 09:33:00,2022-12-29 10:33:00
