day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,entry_time_read,exit_time_read
2023-11-30,NIFTY_20200_CE,HighCallVolumeBuy,SIG_1,1,1,1701315900,1701315960,14.6,12.0,-2.6,0.0,Thursday,1,20200_CE,0,LONG,,,,16.060000000000002,14.016,15,1,IS,20130.85,20114.8,1701315900,2023-11-30 09:15:00,2023-11-30 09:16:00
2023-11-29,NIFTY_20100_CE,HighCallVolumeBuy,SIG_1,1,1,1701229500,1701229680,13.85,15.25,1.4,-0.0,Wednesday,1,20100_CE,0,LONG,,,,15.235000000000001,13.296,15,1,IT,19966.75,19972.3,1701229500,2023-11-29 09:15:00,2023-11-29 09:18:00
2023-11-28,NIFTY_19900_CE,HighCallVolumeBuy,SIG_1,1,1,1701143100,1701143700,49.9,47.9,-2.0,-0.0,Tuesday,1,19900_CE,0,LONG,,,,54.89,47.903999999999996,15,1,IS,19820.1,19828.35,1701143100,2023-11-28 09:15:00,2023-11-28 09:25:00
2023-11-24,NIFTY_19900_CE,HighCallVolumeBuy,SIG_1,1,1,1700797500,1700797560,72.9,68.7,-4.2,0.0,Friday,1,19900_CE,0,LONG,,,,80.19000000000001,69.98400000000001,15,1,IS,19824.85,19819.75,1700797500,2023-11-24 09:15:00,2023-11-24 09:16:00
2023-11-23,NIFTY_19900_CE,HighCallVolumeBuy,SIG_1,1,1,1700711100,1700711160,14.8,13.25,-1.55,0.0,Thursday,1,19900_CE,0,LONG,,,,16.28,14.208,15,1,IS,19847.65,19845.25,1700711100,2023-11-23 09:15:00,2023-11-23 09:16:00
2023-11-22,NIFTY_19900_CE,HighCallVolumeBuy,SIG_1,1,1,1700624700,1700625000,22.4,20.95,-1.45,0.0,Wednesday,1,19900_CE,0,LONG,,,,24.64,21.503999999999998,15,1,IS,19783.75,19792.2,1700624700,2023-11-22 09:15:00,2023-11-22 09:20:00
2023-11-21,NIFTY_19900_CE,HighCallVolumeBuy,SIG_1,1,1,1700538300,1700538600,27.0,30.4,3.4,0.0,Tuesday,1,19900_CE,0,LONG,,,,29.700000000000003,25.919999999999998,15,1,IT,19759.4,19770.5,1700538300,2023-11-21 09:15:00,2023-11-21 09:20:00
2023-11-20,NIFTY_19800_CE,HighCallVolumeBuy,SIG_1,1,1,1700451900,1700451960,76.5,71.15,-5.35,0.0,Monday,1,19800_CE,0,LONG,,,,84.15,73.44,15,1,IS,19740.6,19731.45,1700451900,2023-11-20 09:15:00,2023-11-20 09:16:00
2023-11-17,NIFTY_19800_CE,HighCallVolumeBuy,SIG_1,1,1,1700192700,1700193060,77.75,88.9,11.15,-0.0,Friday,1,19800_CE,0,LONG,,,,85.525,74.64,15,1,IT,19726.2,19756.05,1700192700,2023-11-17 09:15:00,2023-11-17 09:21:00
2023-11-16,NIFTY_19700_CE,HighCallVolumeBuy,SIG_1,1,1,1700106300,1700106360,10.75,10.15,-0.6,-0.0,Thursday,1,19700_CE,0,LONG,,,,11.825000000000001,10.32,15,1,IS,19647.0,19639.25,1700106300,2023-11-16 09:15:00,2023-11-16 09:16:00
2023-11-15,NIFTY_19700_CE,HighCallVolumeBuy,SIG_1,1,1,1700019900,1700020020,20.3,23.2,2.9,-0.0,Wednesday,1,19700_CE,0,LONG,,,,22.330000000000002,19.488,15,1,IT,19591.6,19610.45,1700019900,2023-11-15 09:15:00,2023-11-15 09:17:00
