day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read
24/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674539040,1674542640,18154.25,18129.6,24.65,0,Tuesday,1,SPOT,0,SHORT,18099.78725,18173.1,18099.78725,18173.1,60,1,TC,1674539040,TRUE,GAP_UP,4,18154.25,1,-0.05,-0.04,-0.04,-0.03,0.0145,-0.2426,0.96,0.99,0.47,0.5044,-0.0344,0.66,0.35,1.4548,0.345,-45.75,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0,0.03,1,0,1,1,1,3697.6975,30.81414583,5.733098832,0,-0.19,-2.466653153,0,-5.704104167,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24/01/23 11:14
24/01/23,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674545940,1674549540,18133.2,18105.65,27.55,0,Tuesday,1,SPOT,0,SHORT,18078.8004,18143.55,18078.8004,18143.55,60,1,TC,1674545940,TRUE,GAP_UP,8,18133.2,0.92,-0.05,-0.04,-0.04,-0.05,0.0307,-0.3281,0.96,1,0.46,0.5165,-0.0565,0.7,0.33,0.4433,-0.0339,33.2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0,0.03,1,0,1,1,1,5521.37,46.01141667,7.005629482,0,-0.32,-3.955746874,0,-14.6699375,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24/01/23 13:09
24/01/23,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1674551640,1674552600,18105.4,18130.1,-24.7,0,Tuesday,1,SPOT,0,SHORT,18051.0838,18127.7,18051.0838,18127.7,45,1,IS,1674551640,TRUE,GAP_UP,11,18105.4,0.67,-0.05,-0.09,-0.08,-0.11,0.0162,-0.2923,0.97,1,0.5,0.5538,-0.0538,0.74,0.37,0.4591,0.0188,5.4,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0,0.03,1,0,1,1,1,8968.91625,74.74096875,8.928812911,0.06,-0.3,-4.854903994,2.1974508,-22.09696199,4.526990643,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24/01/23 14:44
24/01/23,NIFTY,PriceBreakEMADownward,SIG_4,1,-1,1674553740,1674554340,18110.9,18101.15,9.75,0,Tuesday,1,SPOT,0,SHORT,18056.5673,18134.4,18056.5673,18134.4,10,1,TC,1674553740,TRUE,GAP_UP,13,18110.9,0.57,-0.05,-0.07,-0.05,-0.1,0.0299,-0.351,0.96,1,0.49,0.5537,-0.0637,0.75,0.36,0.5534,0.0739,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0,0.03,1,0,1,1,1,10052.98875,83.77490625,9.453036549,0.13,-0.26,-4.850213421,3.368887179,-22.05428459,10.64006327,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24/01/23 15:19
23/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674449640,1674453240,18148.8,18136.9,11.9,0,Monday,1,SPOT,0,SHORT,18094.3536,18162.6,18094.3536,18162.6,60,1,TC,1674449640,TRUE,INSIDE_VA,3,18148.8,1,0.17,0.15,0.09,0.35,0.1896,-0.7306,0.67,0.8,0.52,0.6149,-0.0949,0.76,0.47,1.6748,0.4365,48.8,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0,-0.46,1,1,1,1,1,4533.13125,37.77609375,6.347794893,0,0.7,5.31284293,0,26.46215625,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23/01/23 10:24
23/01/23,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674464940,1674467940,18111,18104.95,6.05,0,Monday,1,SPOT,0,SHORT,18056.667,18136.35,18056.667,18136.35,50,1,TC,1674464940,TRUE,INSIDE_VA,11,18111,1,0.17,0.01,0.01,0.02,0.1075,-0.5257,0.87,0.95,0.47,0.5485,-0.0785,0.71,0.39,1.3635,0.3385,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0,-0.46,1,1,1,1,1,9170.9125,76.42427083,9.0287996,0,0.16,3.594350505,0,12.11189583,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23/01/23 14:39
20/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674192240,1674195840,18129.9,18097,32.9,0,Friday,1,SPOT,0,SHORT,18075.5103,18145.45,18075.5103,18145.45,60,1,TC,1674192240,TRUE,INSIDE_VA,4,18129.9,0,0.16,0.09,0.05,0.21,-0.0053,-0.0251,0.68,0.68,0.54,0.5394,0.0006,0.57,0.51,4.4425,0.5362,29.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0.22,0.39,0.39,-1,1,0.28,0.13,0.59,0.6,1,0,-0.39,0,0,1,0,1,3966.0875,33.05072917,5.937517251,0.09,0.45,3.96660544,1.829613545,14.7505863,3.138267868,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20/01/23 10:54
19/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674107640,1674111240,18115.15,18129.4,-14.25,0,Thursday,1,SPOT,0,SHORT,18060.80455,18155.2,18060.80455,18155.2,60,1,TC,1674107640,TRUE,BELOW_VA,5,18115.15,1,-0.09,0.06,0.04,0.11,-0.0511,-0.088,0.99,0.98,0.49,0.518,-0.028,0.69,0.35,0.3991,-0.0472,15.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.28,0.13,0.59,1,0.26,0.19,0.09,0.72,0.21,1,0.0001,1.02,1,0,0,1,0,6435.22625,53.62688542,7.563201115,0.09,0.16,2.993639256,2.205528811,8.401758747,4.560335003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19/01/23 11:24
18/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674017340,1674020280,18112.5,18133.15,-20.65,0,Wednesday,1,SPOT,0,SHORT,18058.1625,18131.9,18058.1625,18131.9,60,1,IS,1674017340,TRUE,GAP_UP,3,18112.5,1,0.28,0.17,0.12,0.35,-0.0484,0.1,0.56,0.5,0.58,0.5607,0.0193,0.61,0.52,4.6021,0.5693,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.19,0.09,0.72,1,0.88,0.19,0.08,0.73,0.83,-1,0,0.84,1,0,1,1,0,5959.5125,49.66260417,7.278285818,0,0.64,5.841734902,0,31.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18/01/23 10:19
18/01/23,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674024540,1674028140,18164.8,18153.6,11.2,0,Wednesday,1,SPOT,0,SHORT,18110.3056,18177.45,18110.3056,18177.45,60,1,TC,1674024540,TRUE,GAP_UP,7,18164.8,0.33,0.28,0.13,0.08,0.29,0.0417,-0.3032,0.91,0.96,0.54,0.587,-0.047,0.71,0.47,1.6421,0.4425,-35.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.19,0.09,0.72,1,0.88,0.19,0.08,0.73,0.83,-1,0,0.84,1,0,1,1,0,9005.195,75.04329167,8.946852954,0,0.68,7.398972902,0,51.32325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18/01/23 12:19
