day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read
2022-08-30,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1661839800,1661840760.0,17539.5,17559.4,-19.9,-0.0,Tuesday,1,SPOT,0,SHORT,17504.421,17557.0395,17504.421,17557.0395,30.0,1,IS,1661839800,True,GAP_UP,5,17539.5,0.17,0.16,0.2,0.13,0.4,0.2119,-0.7097,0.3,0.44,0.56,0.6491,-0.0891,0.74,0.56,2.4895,0.5286,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.1,0.19,0.71,1,0.0,0.38,0.4,0.22,0.0,-1,-0.0188,-1.48,0,0,0,0,0,6361.794999999918,53.01495833333265,7.519926122568504,0.0,1.0,7.519926122568504,0.0,53.01495833333265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-08-30 11:40:00
2022-08-30,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1661839800,1661841720.0,17539.5,17574.9,-35.4,-0.0,Tuesday,2,SPOT,0,SHORT,17486.8815,17574.579,17486.8815,17574.579,45.0,1,IS,1661839800,True,GAP_UP,5,17539.5,0.17,0.16,0.2,0.13,0.4,0.2119,-0.7097,0.3,0.44,0.56,0.6491,-0.0891,0.74,0.56,2.4895,0.5286,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.1,0.19,0.71,1,0.0,0.38,0.4,0.22,0.0,-1,-0.0188,-1.48,0,0,0,0,0,6361.794999999918,53.01495833333265,7.519926122568504,0.0,1.0,7.519926122568504,0.0,53.01495833333265,0.0,,,,,,,,,,,,,,,,,,,,,,,2022-08-30 11:40:00
2022-08-30,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1661848800,1661849100.0,17649.2,17674.65,-25.45,-0.0,Tuesday,1,SPOT,0,SHORT,17613.9016,17666.8492,17613.9016,17666.8492,30.0,1,IS,1661848800,True,GAP_UP,10,17649.2,0.06,0.16,0.2,0.11,0.47,0.1584,-0.5561,0.47,0.61,0.59,0.6672,-0.0772,0.75,0.58,2.5381,0.5651,49.20000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0.1,0.19,0.71,1,0.0,0.38,0.4,0.22,0.0,-1,-0.0188,-1.48,0,0,0,0,0,26215.27624999934,218.46063541666118,15.265145848558799,0.0,0.98,15.123646312241368,0.0,214.42938541666118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-08-30 14:10:00
2022-08-30,NIFTY,PriceBreakEMADownward,SIG_2,2,-1,1661848800,1661849460.0,17649.2,17684.65,-35.45,-0.0,Tuesday,2,SPOT,0,SHORT,17596.2524,17684.4984,17596.2524,17684.4984,45.0,1,IS,1661848800,True,GAP_UP,10,17649.2,0.06,0.16,0.2,0.11,0.47,0.1584,-0.5561,0.47,0.61,0.59,0.6672,-0.0772,0.75,0.58,2.5381,0.5651,49.20000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0.1,0.19,0.71,1,0.0,0.38,0.4,0.22,0.0,-1,-0.0188,-1.48,0,0,0,0,0,26215.27624999934,218.46063541666118,15.265145848558799,0.0,0.98,15.123646312241368,0.0,214.42938541666118,0.0,,,,,,,,,,,,,,,,,,,,,,,2022-08-30 14:10:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1661750400,1661752200.0,17306.6,17316.05,-9.45,-0.0,Monday,1,SPOT,0,SHORT,17271.9868,17323.9066,17271.9868,17323.9066,30.0,1,TC,1661750400,True,GAP_DOWN,4,17306.6,1.0,0.31,0.15,0.11,0.29,0.0323,-0.1142,0.16,0.21,0.67,0.6759,-0.0059,0.69,0.66,5.0316,0.6648,6.599999999998545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,13945.765000000512,116.2147083333376,11.133838311901252,0.02,0.78,9.829710477436608,1.4803640412810355,90.58425756583783,2.0545103387980492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-08-29 10:50:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1661750400,1661753100.0,17306.6,17321.0,-14.4,-0.0,Monday,2,SPOT,0,SHORT,17254.6802,17341.2132,17254.6802,17341.2132,45.0,1,TC,1661750400,True,GAP_DOWN,4,17306.6,1.0,0.31,0.15,0.11,0.29,0.0323,-0.1142,0.16,0.21,0.67,0.6759,-0.0059,0.69,0.66,5.0316,0.6648,6.599999999998545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,13945.765000000512,116.2147083333376,11.133838311901252,0.02,0.78,9.829710477436608,1.4803640412810355,90.58425756583783,2.0545103387980492,,,,,,,,,,,,,,,,,,,,,,,2022-08-29 10:50:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1661757300,1661759100.0,17347.05,17329.15,17.9,0.0,Monday,1,SPOT,0,SHORT,17312.3559,17364.397049999996,17312.3559,17364.397049999996,30.0,1,TC,1661757300,True,GAP_DOWN,8,17347.05,0.64,0.31,0.11,0.08,0.18,0.1349,-0.6109,0.81,0.91,0.46,0.5408,-0.0808,0.72,0.37,1.3413,0.3207,47.04999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,18122.99000000053,151.0249166666711,12.692251354446507,0.12,0.63,10.058107450702483,4.439085748188719,94.84268014675948,18.47388963728644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-08-29 12:45:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_2,2,-1,1661757300,1661760000.0,17347.05,17340.5,6.55,0.0,Monday,2,SPOT,0,SHORT,17295.00885,17381.7441,17295.00885,17381.7441,45.0,1,TC,1661757300,True,GAP_DOWN,8,17347.05,0.64,0.31,0.11,0.08,0.18,0.1349,-0.6109,0.81,0.91,0.46,0.5408,-0.0808,0.72,0.37,1.3413,0.3207,47.04999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,18122.99000000053,151.0249166666711,12.692251354446507,0.12,0.63,10.058107450702483,4.439085748188719,94.84268014675948,18.47388963728644,,,,,,,,,,,,,,,,,,,,,,,2022-08-29 12:45:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1661763300,1661765100.0,17326.6,17294.75,31.85,-0.0,Monday,1,SPOT,0,SHORT,17291.946799999998,17343.926599999995,17291.946799999998,17343.926599999995,30.0,1,TC,1661763300,True,GAP_DOWN,11,17326.6,0.47,0.31,0.06,0.04,0.12,0.0665,-0.4178,0.91,0.97,0.44,0.5031,-0.0631,0.68,0.33,1.2307,0.2795,26.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,22153.180000000517,184.60983333333763,14.032717326147496,0.2,0.52,10.077333744780322,6.253937808876547,95.20561444095766,36.66725448496461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-08-29 14:25:00
2022-08-29,NIFTY,PriceBreakEMADownward,SIG_3,2,-1,1661763300,1661766000.0,17326.6,17310.35,16.25,-0.0,Monday,2,SPOT,0,SHORT,17274.620199999998,17361.2532,17274.620199999998,17361.2532,45.0,1,TC,1661763300,True,GAP_DOWN,11,17326.6,0.47,0.31,0.06,0.04,0.12,0.0665,-0.4178,0.91,0.97,0.44,0.5031,-0.0631,0.68,0.33,1.2307,0.2795,26.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.4,0.22,-1,1.0,0.09,0.2,0.71,0.7,-1,0.0,-0.61,0,0,1,0,1,22153.180000000517,184.60983333333763,14.032717326147496,0.2,0.52,10.077333744780322,6.253937808876547,95.20561444095766,36.66725448496461,,,,,,,,,,,,,,,,,,,,,,,2022-08-29 14:25:00
