day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2022-12-14,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670991840,1671009840,18676.1,18661.75,14.35,0.0,Wednesday,1,SPOT,0,SHORT,18620.071699999997,18694.9,18694.9,18620.071699999997,18694.9,300.0,1,TC,18676.1,18661.75,1670991840,GAP_UP,2,18676.1,0.0,-0.07,0.0,-0.09,0.0,-23.900000000001455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,861.8625000000945,7.182187500000788,2.767851152067401,0.0,0.94,2.677660670560669,0.0,6.721750000000698,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,2022-12-14 09:54:00,2022-12-14 14:54:00
2022-12-14,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670999040,1671000480,18683.2,18690.95,-7.75,0.0,Wednesday,1,SPOT,0,SHORT,18627.150400000002,18690.2,18690.2,18627.150400000002,18690.2,214.0,1,IS,18683.2,18690.95,1670999040,GAP_UP,6,18683.2,1.0,-0.12,0.0,0.01,-0.02,-16.799999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,2068.485000000195,17.237375000001627,4.287952114160683,0.0,0.31,2.372734006724594,0.0,5.278000000000637,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.0226,-0.1393,0.98,0.99,0.45,0.4851,-0.0351,0.64,0.33,1.3812,0.3184,2022-12-14 11:54:00,2022-12-14 12:18:00
2022-12-14,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1671011340,1671011880,18659.55,18646.25,13.3,0.0,Wednesday,1,SPOT,0,SHORT,18603.57135,18671.35,18671.35,18603.57135,18671.35,9.0,1,TC,18659.55,18646.25,1671011340,GAP_UP,13,18659.55,0.81,-0.12,-0.05,-0.04,-0.09,-40.45000000000073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,4589.437500000073,38.24531250000061,6.3870963668947915,0.13,-0.05,-1.375664125307597,2.268828434350524,-1.7741735490546706,4.82585856048511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0669,-0.4801,0.93,0.98,0.45,0.5257,-0.0757,0.74,0.32,0.6776,0.1049,2022-12-14 15:19:00,2022-12-14 15:28:00
2022-12-13,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670908140,1670908920,18523.85,18536.75,-12.9,-0.0,Tuesday,1,SPOT,0,SHORT,18468.278449999998,18536.45,18536.45,18468.278449999998,18536.45,289.0,1,IS,18523.85,18536.75,1670908140,GAP_UP,3,18523.85,1.0,-0.02,0.0,0.0,0.0,23.849999999998545,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.32,0.15,0.53,1,0.63,0.32,0.01,0.67,0.44,-1,-0.0004,0.03,0,1,1,0,1,3182.536249999836,26.5211354166653,5.318760298331713,0.26,-0.1,-1.6406035798960243,2.7370233503879087,-2.5233563497196725,7.023090769283113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0573,-0.537,0.93,0.97,0.39,0.4674,-0.0774,0.73,0.21,0.7119,0.0563,2022-12-13 10:39:00,2022-12-13 10:52:00
2022-12-13,NIFTY,HedgeEMADownward,SIG_1,1,1,1670909040,1670914440,18536.6,18577.95,41.35,-0.0,Tuesday,1,SPOT,0,LONG,18592.209799999997,18523.85,18523.85,18592.209799999997,18523.85,90.0,1,TC,18536.6,18577.95,1670909040,GAP_UP,4,18536.6,1.0,-0.02,0.06,0.05,0.11,36.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.32,0.15,0.53,1,0.63,0.32,0.01,0.67,0.44,-1,-0.0004,0.03,0,1,1,0,1,3234.567499999795,26.954729166664958,5.362062206941401,0.27,-0.09,-1.6192214402057024,2.8078630284653254,-2.4580106928954644,7.391338862458563,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2033,-0.9305,0.81,0.91,0.37,0.4864,-0.1164,0.73,0.24,0.7982,0.0798,2022-12-13 10:54:00,2022-12-13 12:24:00
2022-12-13,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670913240,1670915580,18582.65,18594.4,-11.75,-0.0,Tuesday,1,SPOT,0,SHORT,18526.90205,18592.7,18592.7,18526.90205,18592.7,204.0,1,IS,18582.65,18594.4,1670913240,GAP_UP,6,18582.65,0.38,-0.02,0.1,0.05,0.23,-17.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0.32,0.15,0.53,1,0.63,0.32,0.01,0.67,0.44,-1,-0.0004,0.03,0,1,1,0,1,6261.267499999756,52.17722916666464,7.460275538551438,0.3,0.28,3.913021455738861,4.105420782468907,14.35475335600563,15.801074813557138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1633,-0.6872,0.75,0.85,0.53,0.6164,-0.0864,0.76,0.47,1.3687,0.3988,2022-12-13 12:04:00,2022-12-13 12:43:00
2022-12-13,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1670918040,1670923860,18595.7,18614.9,-19.2,-0.0,Tuesday,1,SPOT,0,SHORT,18539.9129,18608.9,18608.9,18539.9129,18608.9,124.0,1,IS,18595.7,18614.9,1670918040,GAP_UP,9,18595.7,0.23,-0.02,0.07,0.04,0.18,-4.299999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0.32,0.15,0.53,1,0.63,0.32,0.01,0.67,0.44,-1,-0.0004,0.03,0,1,1,0,1,7742.861249999744,64.52384374999787,8.29610952997434,0.28,0.38,5.080872112592769,4.418221080016198,24.201807585490222,18.300635167405783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1463,-0.6893,0.84,0.93,0.48,0.5761,-0.0961,0.77,0.38,0.9004,0.2333,2022-12-13 13:24:00,2022-12-13 15:01:00
2022-12-12,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670822940,1670832000,18505.35,18446.2,59.15,0.0,Monday,1,SPOT,0,SHORT,18449.83395,18521.55,18512.297325,18449.83395,18521.55,269.0,1,IT,18505.35,18446.2,1670822940,GAP_DOWN,4,18505.35,0.33,0.14,0.14,0.12,0.21,5.349999999998545,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0.32,0.01,0.67,-1,0.35,0.39,0.14,0.47,1.0,1,0.002,-0.51,1,1,1,1,1,13091.138750000306,109.09282291666922,10.787292421074925,0.0,0.86,10.01570932751816,0.0,94.04478125000088,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1662,-0.6397,0.67,0.8,0.52,0.5968,-0.0768,0.73,0.46,1.8929,0.4494,2022-12-12 10:59:00,2022-12-12 13:30:00
2022-12-12,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670824440,1670832000,18504.5,18446.2,58.3,0.0,Monday,1,SPOT,0,SHORT,18448.9865,18516.9,18507.64775,18448.9865,18516.9,244.0,1,IT,18504.5,18446.2,1670824440,GAP_DOWN,5,18504.5,0.2,0.14,0.11,0.09,0.17,4.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0.32,0.01,0.67,-1,0.35,0.39,0.14,0.47,1.0,1,0.002,-0.51,1,1,1,1,1,13915.388750000351,115.9615729166696,11.12170600422649,0.01,0.8,9.932347925746898,1.0971317219207684,92.48581436070815,1.1284668892920282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2115,-0.8206,0.69,0.81,0.45,0.5549,-0.1049,0.73,0.38,1.4746,0.3392,2022-12-12 11:24:00,2022-12-12 13:30:00
2022-12-12,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1670828640,1670835180,18491.05,18430.15,60.9,-0.0,Monday,1,SPOT,0,SHORT,18435.576849999998,18511.15,18511.15,18435.576849999998,18511.15,174.0,1,IT,18491.05,18430.15,1670828640,GAP_DOWN,7,18491.05,0.6,0.14,0.03,0.01,0.09,-8.950000000000728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0.32,0.01,0.67,-1,0.35,0.39,0.14,0.47,1.0,1,0.002,-0.51,1,1,1,1,1,15409.121250000298,128.40934375000248,11.703416879982928,0.07,0.7,9.780728350677212,3.061571041371842,89.68373162788215,8.787391163781251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1295,-0.6211,0.86,0.94,0.44,0.5259,-0.0859,0.72,0.33,1.084,0.249,2022-12-12 12:34:00,2022-12-12 14:23:00
