day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2023-01-23,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674448740,1674455940,42929.2,42793.9,135.3,0.0,Monday,1,SPOT,0,SHORT,42800.412399999994,43005.85,42984.3854,42800.412399999994,43005.85,300.0,1,IT,42929.2,42793.9,1674448740,GAP_UP,2,42929.2,0.0,0.18,0.0,0.14,0.31,29.19999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.43,0.56,0.01,-1,0.41,0.22,0.33,0.45,0.52,-1,0.0002,0.39,1,0,1,1,0,32036.286249999855,39.06864176829251,6.328140154302828,0.0,0.63,5.0133803777989305,0.0,24.52095884146278,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2023-01-23 10:09:00,2023-01-23 12:09:00
2023-01-20,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674191940,1674196140,42668.25,42533.25,135.0,0.0,Friday,1,SPOT,0,SHORT,42540.24525,42709.2,42709.2,42540.24525,42709.2,279.0,1,IT,42668.25,42533.25,1674191940,GAP_UP,4,42668.25,0.0,0.34,0.22,0.14,0.43,-31.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.22,0.33,0.45,-1,1.0,0.35,0.2,0.45,0.62,1,0.0,-0.37,1,0,1,1,1,30620.402500000884,37.34195426829376,6.1867199003188365,0.0,0.75,5.342134112412408,0.0,27.842338414634437,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2284,-0.7686,0.34,0.49,0.54,0.6381,-0.0981,0.72,0.56,2.3578,0.5077,2023-01-20 10:49:00,2023-01-20 11:59:00
2023-01-20,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674198840,1674208680,42598.4,42485.9,112.5,0.0,Friday,1,SPOT,0,SHORT,42470.6048,42676.0,42676.0,42470.6048,42676.0,164.0,1,TC,42598.4,42485.9,1674198840,GAP_UP,7,42598.4,0.8,0.34,0.02,-0.01,0.12,-1.5999999999985448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.22,0.33,0.45,-1,1.0,0.35,0.2,0.45,0.62,1,0.0,-0.37,1,0,1,1,1,53316.59625000086,65.02023932926934,8.163684542686658,0.22,0.34,4.785902112100934,3.80380763973467,22.346203928402126,14.116051278150087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0123,-0.2583,0.97,1.0,0.49,0.5359,-0.0459,0.7,0.37,1.135,0.3058,2023-01-20 12:44:00,2023-01-20 15:28:00
2023-01-20,BANKNIFTY,PriceBreakEMADownward,SIG_3,1,-1,1674201240,1674208200,42618.45,42479.8,138.65,0.0,Friday,1,SPOT,0,SHORT,42490.59465,42651.95,42630.640775,42490.59465,42651.95,124.0,1,IT,42618.45,42479.8,1674201240,GAP_UP,9,42618.45,0.85,0.34,0.03,-0.01,0.13,18.44999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.22,0.33,0.45,-1,1.0,0.35,0.2,0.45,0.62,1,0.0,-0.37,1,0,1,1,1,61120.71750000024,74.53746036585395,8.740760657688798,0.29,0.28,4.665068428722291,4.721324095796149,21.2320618972307,21.74722070004422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0159,-0.313,0.97,1.0,0.46,0.5165,-0.0565,0.71,0.32,0.5478,0.0358,2023-01-20 13:24:00,2023-01-20 15:20:00
2023-01-18,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674017340,1674021240,42420.1,42503.95,-83.85,-0.0,Wednesday,1,SPOT,0,SHORT,42292.8397,42496.65,42496.65,42292.8397,42496.65,300.0,1,IS,42420.1,42503.95,1674017340,INSIDE_VA,3,42420.1,1.0,0.28,0.17,0.12,0.35,20.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0.73,0.22,0.05,1,0.61,0.15,0.14,0.71,0.49,-1,0.0,-0.07,0,1,1,0,1,92110.05124999938,112.32933079268217,10.73021733528726,0.18,0.39,6.709929362228097,4.596736104228189,43.925026386430005,20.614617377477998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.052,-0.2682,0.72,0.79,0.65,0.6707,-0.0207,0.78,0.56,2.4003,0.6066,2023-01-18 10:19:00,2023-01-18 11:24:00
2023-01-17,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673930940,1673934600,42321.7,42193.0,128.7,0.0,Tuesday,1,SPOT,0,SHORT,42194.734899999996,42383.8,42362.63915,42194.734899999996,42383.8,300.0,1,IT,42321.7,42193.0,1673930940,INSIDE_VA,3,42321.7,1.0,0.41,0.31,0.33,0.25,21.69999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0.15,0.14,0.71,-1,0.6,0.5,0.2,0.3,0.68,1,0.004,0.37,1,0,1,1,0,49561.65249999862,60.44103963414466,7.870963449603757,0.0,0.59,6.062363541639209,0.24180604624993793,35.85585532780127,0.057044062441977676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2714,-0.9418,0.41,0.54,0.51,0.6394,-0.1294,0.78,0.5,1.903,0.4482,2023-01-17 10:19:00,2023-01-17 11:20:00
2023-01-17,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1673945940,1673946360,42019.5,42114.2,-94.7,-0.0,Tuesday,1,SPOT,0,SHORT,41893.4415,42096.55,42096.55,41893.4415,42096.55,59.0,1,IS,42019.5,42114.2,1673945940,INSIDE_VA,11,42019.5,0.65,0.41,-0.0,0.01,-0.05,19.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.15,0.14,0.71,-1,0.6,0.5,0.2,0.3,0.68,1,0.004,0.37,1,0,1,1,0,173894.07249999925,212.06594207316982,14.743391422091426,0.3,0.02,2.3240463186364853,8.010548039648997,5.269454918212487,62.60378526392622,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1462,-0.6716,0.83,0.92,0.46,0.5584,-0.0984,0.75,0.36,1.11,0.2738,2023-01-17 14:29:00,2023-01-17 14:36:00
2023-01-13,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673597340,1673597580,42320.95,42400.9,-79.95,-0.0,Friday,1,SPOT,0,SHORT,42193.98714999999,42386.4,42386.4,42193.98714999999,42386.4,109.0,1,IS,42320.95,42400.9,1673597340,ABOVE_VA,9,42320.95,0.71,-0.34,0.06,0.03,0.14,20.94999999999709,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.57,0.17,0.26,-1,0.96,0.58,0.2,0.22,0.98,1,0.0,-0.25,1,1,1,1,1,180508.1462500016,220.13188567073365,15.021157838612243,0.36,0.32,8.504725497420926,8.97055558846981,70.56620076729915,78.50816347885558,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.054,-0.447,0.95,0.99,0.5,0.5686,-0.0686,0.79,0.35,0.6749,0.1472,2023-01-13 13:39:00,2023-01-13 13:43:00
2023-01-13,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1673599740,1673600940,42418.45,42272.9,145.55,0.0,Friday,1,SPOT,0,SHORT,42291.19465,42453.95,42453.95,42291.19465,42453.95,69.0,1,IT,42418.45,42272.9,1673599740,ABOVE_VA,11,42418.45,0.59,-0.34,0.1,0.06,0.2,18.44999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.57,0.17,0.26,-1,0.96,0.58,0.2,0.22,0.98,1,0.0,-0.25,1,1,1,1,1,189988.7125000017,231.69355182927038,15.41057723205079,0.34,0.34,9.009320928848187,8.97055558846981,79.18815960876287,78.50816347885558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0743,-0.4866,0.93,0.98,0.49,0.5622,-0.0722,0.77,0.36,0.666,0.1333,2023-01-13 14:19:00,2023-01-13 14:39:00
2023-01-12,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673504040,1673508180,41950.8,42071.95,-121.15,-0.0,Thursday,1,SPOT,0,SHORT,41824.9476,42017.4,42017.4,41824.9476,42017.4,224.0,1,IS,41950.8,42071.95,1673504040,INSIDE_VA,5,41950.8,0.0,-0.12,-0.12,-0.07,-0.28,-49.19999999999709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0.58,0.2,0.22,1,0.82,0.27,0.0,0.73,0.6,-1,0.0,0.33,0,1,1,1,1,141598.54499999763,172.6811524390215,13.304066342663699,0.17,-0.23,-6.393919047839606,5.448060681143473,-39.8850739417816,28.957429449191693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0468,-0.4034,0.94,0.99,0.52,0.5951,-0.0751,0.79,0.4,0.5907,0.1264,2023-01-12 11:44:00,2023-01-12 12:53:00
