day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read,exit_time_read
2022-12-14,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670995740,1670996160,44056.25,44096.9,-40.65,0.0,Wednesday,1,SPOT,0,SHORT,43924.08125,44094.45,44094.45,43924.08125,44094.45,269.0,1,IS,44056.25,44096.9,1670995740,GAP_UP,4,44056.25,1.0,0.0,0.01,0.02,-0.04,-0.0916,-0.0131,0.94,0.92,0.46,0.4757,-0.0157,0.72,0.23,0.5243,0.0153,-43.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.12,0.32,0.56,1,0.0,0.2,0.18,0.62,0.0,1,0.0006,0.54,1,0,0,1,0,11284.798750000144,13.761949695122127,3.7557953135787607,0.0,0.13,1.34829811707197,0.0,1.7735685975607993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-14 10:59:00,2022-12-14 11:06:00
2022-12-14,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670997840,1670999760,44099.8,44134.45,-34.65,0.0,Wednesday,1,SPOT,0,SHORT,43967.5006,44127.1,44127.1,43967.5006,44127.1,234.0,1,IS,44099.8,44134.45,1670997840,GAP_UP,5,44099.8,0.67,0.0,0.04,0.05,0.0,-0.0375,-0.2058,0.98,0.98,0.47,0.52,-0.05,0.76,0.28,0.631,0.094,-0.19999999999708962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.12,0.32,0.56,1,0.0,0.2,0.18,0.62,0.0,1,0.0006,0.54,1,0,0,1,0,14731.697500000333,17.96548475609797,4.291226150530919,0.0,0.33,2.4751830740371616,0.0,5.977103658536638,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-14 11:34:00,2022-12-14 12:06:00
2022-12-14,BANKNIFTY,PriceBreakEMADownward,SIG_3,1,-1,1670999040,1670999760,44107.45,44134.45,-27.0,0.0,Wednesday,1,SPOT,0,SHORT,43975.127649999995,44126.2,44126.2,43975.127649999995,44126.2,214.0,1,IS,44107.45,44134.45,1670999040,GAP_UP,6,44107.45,0.57,0.0,0.03,0.04,0.0,0.0258,-0.3369,0.94,0.98,0.46,0.5203,-0.0603,0.73,0.31,0.55,0.0398,7.44999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.12,0.32,0.56,1,0.0,0.2,0.18,0.62,0.0,1,0.0006,0.54,1,0,0,1,0,14926.922500000335,18.20356402439065,4.31956631214297,0.0,0.34,2.5239973256721284,0.0,6.215182926829324,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-14 11:54:00,2022-12-14 12:06:00
2022-12-13,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670910240,1670910720,43922.55,43958.85,-36.3,0.0,Tuesday,1,SPOT,0,SHORT,43790.78235,43952.4,43952.4,43790.78235,43952.4,254.0,1,IS,43922.55,43958.85,1670910240,GAP_UP,4,43922.55,0.0,0.2,0.12,0.11,0.12,0.1471,-0.8152,0.89,0.96,0.39,0.5205,-0.1305,0.8,0.24,0.757,0.0876,22.55000000000291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.2,0.18,0.62,1,1.0,0.52,0.18,0.3,0.79,-1,0.0,-0.01,0,1,1,1,1,16055.781249999422,19.58022103658466,4.479924838934162,0.1,0.42,2.903586604295903,1.4275466783449426,8.22518553038694,1.9881848964426134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-13 11:14:00,2022-12-13 11:22:00
2022-12-13,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670911740,1670913720,43947.15,43979.25,-32.1,0.0,Tuesday,1,SPOT,0,SHORT,43815.30855,43978.9,43978.9,43815.30855,43978.9,229.0,1,IS,43947.15,43979.25,1670911740,GAP_UP,5,43947.15,0.0,0.2,0.11,0.11,0.1,0.2443,-1.0804,0.82,0.91,0.42,0.5733,-0.1533,0.85,0.3,0.811,0.1452,47.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.2,0.18,0.62,1,1.0,0.52,0.18,0.3,0.79,-1,0.0,-0.01,0,1,1,1,1,18287.01249999947,22.301234756096914,4.781084147450172,0.09,0.49,3.330640095164939,1.471251272380091,10.822598481483231,2.1117856648585724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-13 11:39:00,2022-12-13 12:12:00
2022-12-12,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670822940,1670832000,43725.3,43591.7,133.6,0.0,Monday,1,SPOT,0,SHORT,43594.1241,43767.05,43745.18735,43594.1241,43767.05,269.0,1,IT,43725.3,43591.7,1670822940,BELOW_VA,4,43725.3,1.0,0.23,0.17,0.13,0.29,0.1194,-0.447,0.6,0.73,0.43,0.4886,-0.0586,0.58,0.4,2.5355,0.4024,25.30000000000291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0.52,0.18,0.3,-1,0.57,0.09,0.02,0.89,0.51,1,0.0029,0.52,1,0,1,1,1,69386.30500000279,84.61744512195462,9.313048977107524,0.12,0.45,6.276056093238028,3.182144703581408,38.42817569314163,9.879068209298737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-12 10:59:00,2022-12-12 13:30:00
2022-12-12,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670828640,1670830260,43712.1,43746.6,-34.5,0.0,Monday,1,SPOT,0,SHORT,43580.9637,43738.95,43738.95,43580.9637,43738.95,174.0,1,IS,43712.1,43746.6,1670828640,BELOW_VA,7,43712.1,1.0,0.23,0.1,0.07,0.2,0.0308,-0.3125,0.92,0.96,0.43,0.4738,-0.0438,0.66,0.29,1.2319,0.2646,12.099999999998545,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0.52,0.18,0.3,-1,0.57,0.09,0.02,0.89,0.51,1,0.0029,0.52,1,0,1,1,1,86766.47875000231,105.81277896341744,10.414321794409028,0.23,0.34,6.039538481202015,4.989207103966712,35.586365917970674,24.285061001240887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-12 12:34:00,2022-12-12 13:01:00
2022-12-09,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670567940,1670569440,43748.95,43605.75,143.2,0.0,Friday,1,SPOT,0,SHORT,43617.703149999994,43778.0,43778.0,43617.703149999994,43778.0,199.0,1,IT,43748.95,43605.75,1670567940,GAP_UP,6,43748.95,1.0,0.22,0.06,0.06,0.06,-0.0322,-0.0953,0.98,0.98,0.46,0.4862,-0.0262,0.63,0.34,1.5918,0.3569,48.94999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09,0.02,0.89,1,0.43,0.43,0.45,0.12,0.61,-1,0.0,1.28,1,0,1,1,0,43874.60000000018,53.50560975609778,7.405622863743483,0.06,0.07,2.008977156134244,1.8683912294085279,3.9375504525553495,3.405742230371424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-09 12:09:00,2022-12-09 12:34:00
2022-12-08,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1670476140,1670478420,43357.0,43406.4,-49.4,-0.0,Thursday,1,SPOT,0,SHORT,43226.929,43402.5,43402.5,43226.929,43402.5,289.0,1,IS,43357.0,43406.4,1670476140,INSIDE_VA,3,43357.0,1.0,0.42,0.26,0.21,0.42,0.0656,-0.2875,0.78,0.87,0.59,0.6334,-0.0434,0.71,0.55,2.6704,0.5649,-43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0.43,0.45,0.12,-1,0.61,0.08,0.72,0.2,1.0,1,0.0,-0.12,1,1,1,1,1,42747.76374999904,52.1314192073159,7.309904560765401,0.0,0.85,6.741522338277791,0.0,44.33963262194971,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-08 10:39:00,2022-12-08 11:17:00
2022-12-08,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1670480040,1670486040,43421.5,43462.85,-41.35,-0.0,Thursday,1,SPOT,0,SHORT,43291.2355,43458.85,43458.85,43291.2355,43458.85,224.0,1,IS,43421.5,43462.85,1670480040,INSIDE_VA,5,43421.5,0.67,0.42,0.18,0.14,0.3,0.0007,-0.2391,0.97,0.99,0.59,0.6372,-0.0472,0.82,0.46,0.4221,0.0776,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0.43,0.45,0.12,-1,0.61,0.08,0.72,0.2,1.0,1,0.0,-0.12,1,1,1,1,1,54616.16749999833,66.60508231707114,8.262578857414791,0.07,0.71,6.973601614470771,2.2359112846105984,47.44499461204813,4.87736514404782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-08 11:44:00,2022-12-08 13:24:00
