day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read,exit_time_read
2023-01-13,NIFTY_17700_CE,PriceBreakEMADownward,SIG_1,1,-1,1673587740,1673589120,205.8,219.2,-13.4,-0.0,Friday,1,17700_CE,0,SHORT,17758.3646,17833.9,17833.9,,,269.0,1,SS,17811.8,17835.6,1673587740,ABOVE_VA,4,17811.8,1.0,-0.17,-0.09,-0.05,-0.21,0.1436,-0.6326,0.8,0.89,0.43,0.5106,-0.0806,0.69,0.33,1.3808,0.3023,11.799999999999272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.55,0.14,0.31,-1,0.66,0.43,0.34,0.23,0.8,-1,0.0,-0.2,0,1,1,1,1,5951.9687499993,49.5997395833275,7.273677810357197,0.19,-0.13,-2.6701586779482622,3.1737793591038166,-6.68413815508351,9.443320706506341,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-13 10:59:00,2023-01-13 11:22:00
2023-01-13,NIFTY_17700_CE,PriceBreakEMADownward,SIG_2,1,-1,1673588940,1673589120,208.4,219.2,-10.8,-0.0,Friday,1,17700_CE,0,SHORT,17768.28475,17835.0,17835.0,,,249.0,1,SS,17821.75,17835.6,1673588940,ABOVE_VA,5,17821.75,1.0,-0.17,-0.07,-0.04,-0.17,0.237,-0.9052,0.66,0.79,0.41,0.5151,-0.1051,0.69,0.34,1.3987,0.2824,21.75,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.55,0.14,0.31,-1,0.66,0.43,0.34,0.23,0.8,-1,0.0,-0.2,0,1,1,1,1,6255.654999999246,52.13045833332705,7.456931153109537,0.21,-0.11,-2.4681459621074917,3.4255373123717967,-5.711010459625797,11.00091176104818,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-13 11:19:00,2023-01-13 11:22:00
2023-01-10,NIFTY_17800_CE,PriceBreakEMADownward,SIG_1,1,-1,1673333640,1673333940,192.0,205.45,-13.45,0.0,Tuesday,1,17800_CE,0,SHORT,17894.255699999998,17963.9,17963.9,,,184.0,1,SS,17948.1,17967.1,1673333640,ABOVE_VA,7,17948.1,0.22,-0.28,-0.14,-0.11,-0.23,0.0166,-0.2893,0.96,0.99,0.52,0.563,-0.043,0.74,0.39,0.4415,0.0177,48.099999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0.08,0.25,0.67,1,0.54,0.27,0.16,0.57,0.44,-1,0.0,0.92,1,0,1,1,0,7549.3037499996735,62.910864583330614,8.191759409444305,0.02,-0.52,-5.918892287071306,1.1387969698288525,-32.843705536830186,1.2158048798356653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-10 12:24:00,2023-01-10 12:29:00
2023-01-02,NIFTY_18100_CE,PriceBreakEMADownward,SIG_1,1,-1,1672635540,1672636020,137.8,150.25,-12.45,-0.0,Monday,1,18100_CE,0,SHORT,18102.27975,18173.85,18173.85,,,299.0,1,SS,18156.75,18179.1,1672635540,BELOW_VA,3,18156.75,1.0,0.25,0.14,0.13,0.15,0.273,-0.859,0.08,0.17,0.47,0.5707,-0.1007,0.65,0.49,2.7208,0.4475,-43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,4321.912499999774,36.01593749999812,6.198144883753363,0.0,0.46,4.204455308889007,0.0,16.572604166667144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-02 10:29:00,2023-01-02 10:37:00
2023-01-02,NIFTY_18100_CE,PriceBreakEMADownward,SIG_2,1,-1,1672638240,1672649400,156.3,115.85,40.45,-0.0,Monday,1,18100_CE,0,SHORT,18131.9405,18199.8,18199.8,,,254.0,1,ST,18186.5,18129.65,1672638240,BELOW_VA,4,18186.5,0.25,0.25,0.14,0.14,0.16,0.194,-0.7348,0.62,0.75,0.43,0.5188,-0.0888,0.67,0.36,1.7656,0.3504,-13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,6923.962499999754,57.69968749999795,7.845147119929055,0.0,0.66,6.388018298171829,0.0,38.25635416666697,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-02 11:14:00,2023-01-02 14:20:00
2023-01-02,NIFTY_18100_CE,PriceBreakEMADownward,SIG_3,1,-1,1672642440,1672651260,151.6,171.0,-19.4,-0.0,Monday,1,18100_CE,0,SHORT,18128.2516,18197.3,18197.3,,,184.0,1,SS,18182.8,18201.65,1672642440,BELOW_VA,7,18182.8,0.11,0.25,0.11,0.1,0.13,0.1711,-0.7532,0.81,0.91,0.38,0.4825,-0.1025,0.69,0.28,1.0531,0.1791,-17.200000000000728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,7566.204999999813,63.051708333331774,8.20092406717401,0.0,0.6,6.333215788382868,0.0,37.60277083333315,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-02 12:24:00,2023-01-02 14:51:00
2022-12-19,NIFTY_18200_CE,PriceBreakEMADownward,SIG_1,1,-1,1671426540,1671426900,198.3,215.8,-17.5,-0.0,Monday,1,18200_CE,0,SHORT,18282.288099999998,18354.1,18354.1,,,289.0,1,SS,18337.3,18357.0,1671426540,BELOW_VA,3,18337.3,1.0,0.16,0.09,0.06,0.17,0.1572,-0.5425,0.38,0.5,0.59,0.6468,-0.0568,0.71,0.59,2.6832,0.5602,37.29999999999927,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.11,0.66,0.23,-1,0.29,0.03,0.15,0.82,0.2,-1,-0.0037,-1.56,0,1,0,0,0,4293.523750000016,35.77936458333347,6.177754896040769,0.0,0.67,5.0722852618694665,0.0,24.120072916667066,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-19 10:39:00,2022-12-19 10:45:00
2022-12-19,NIFTY_18200_CE,PriceBreakEMADownward,SIG_2,1,-1,1671427440,1671430020,198.7,219.85,-21.15,-0.0,Monday,1,18200_CE,0,SHORT,18284.73075,18358.85,18358.85,,,274.0,1,SS,18339.75,18363.15,1671427440,BELOW_VA,4,18339.75,0.33,0.16,0.08,0.04,0.21,0.2225,-0.7749,0.42,0.56,0.55,0.6415,-0.0915,0.72,0.56,2.1201,0.4983,39.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.11,0.66,0.23,-1,0.29,0.03,0.15,0.82,0.2,-1,-0.0037,-1.56,0,1,0,0,0,4719.823750000026,39.33186458333355,6.477189891371807,0.0,0.7,5.432992831866395,0.0,27.672572916667146,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-19 10:54:00,2022-12-19 11:37:00
2022-12-07,NIFTY_18600_CE,PriceBreakEMADownward,SIG_1,1,-1,1670389140,1670390520,108.0,69.0,39.0,0.0,Wednesday,1,18600_CE,0,SHORT,18598.48665,18668.3,18668.3,,,299.0,1,ST,18654.45,18593.95,1670389140,ABOVE_VA,3,18654.45,1.0,0.16,0.06,0.07,0.05,0.0803,-0.3727,0.81,0.9,0.52,0.573,-0.053,0.67,0.48,2.1,0.4678,-45.54999999999927,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0.3,0.11,0.59,1,0.83,0.75,0.07,0.18,0.46,-1,0.0,-0.1,0,1,1,0,1,2870.9387500002304,23.92448958333525,5.051678488933911,0.0,0.22,2.3801143763366595,0.0,5.310885416666668,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2022-12-07 10:29:00,2022-12-07 10:52:00
2022-12-07,NIFTY_18500_CE,PriceBreakEMADownward,SIG_2,1,-1,1670396040,1670398200,129.1,134.7,-5.6,0.0,Wednesday,1,18500_CE,0,SHORT,18532.136300000002,18597.65,18597.65,,,184.0,1,SS,18587.9,18599.35,1670396040,ABOVE_VA,7,18587.9,0.22,0.16,-0.08,-0.07,-0.12,0.0805,-0.4058,0.88,0.96,0.51,0.5694,-0.0594,0.7,0.44,1.7622,0.4294,-12.099999999998545,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.3,0.11,0.59,1,0.83,0.75,0.07,0.18,0.46,-1,0.0,-0.1,0,1,1,0,1,7935.151250000102,66.12626041666752,8.398492589612655,0.17,-0.3,-4.579593008932622,3.4737212011971343,-19.661880119498008,11.312567797168557,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-07 12:24:00,2022-12-07 13:00:00
