day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pattern_time,pattern_price,strength,strike,kind,money_ness,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,entry_time_read
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_1,1,1,1664340600,1664340960,341.35,383.95,42.6,-0.0,Wednesday,1,17300_PE,375.48500000000007,170.675,60,1,1,0,1664340600,True,0,GAP_DOWN,3,16967.45,1.0,0.3,0.32,0.23,0.6,-0.0353,0.0997,0.04,0.01,0.56,0.535,0.025,0.54,0.53,33.1141,0.5526,-32.54999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,9594.213749999763,79.95178124999802,9.234819976588492,0.09,0.25,4.639270090264534,2.793561316716169,20.177650284771662,7.316235778362164,[1664340600],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:20:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_2,1,1,1664340600,1664340900,175.0,199.35,24.35,-0.0,Wednesday,1,17100_PE,192.50000000000003,87.5,60,1,1,0,1664340600,True,0,GAP_DOWN,3,16967.45,1.0,0.3,0.32,0.23,0.6,-0.0353,0.0997,0.04,0.01,0.56,0.535,0.025,0.54,0.53,33.1141,0.5526,-32.54999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,9594.213749999763,79.95178124999802,9.234819976588492,0.09,0.25,4.639270090264534,2.793561316716169,20.177650284771662,7.316235778362164,[1664340600],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:20:00
2022-09-28,NIFTY_17200_PE,OPTION_CHEAP_BUY,SIG_3,1,1,1664340780,1664340960,263.6,291.55,27.95,-0.0,Wednesday,1,17200_PE,289.96000000000004,131.8,60,1,1,0,1664340780,True,0,GAP_DOWN,3,16948.2,1.0,0.3,0.23,0.18,0.4,0.0199,-0.0739,0.31,0.38,0.55,0.562,-0.012,0.58,0.54,5.002,0.5505,48.20000000000073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,9923.032499999748,82.6919374999979,9.39173750342987,0.09,0.27,4.902528117259272,2.8661582638597505,22.532608069235387,7.7014342438983165,[1664340780],"[[0, 0, 0, 0]]",20,17200,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:23:00
2022-09-28,NIFTY_17000_PE,OPTION_CHEAP_BUY,SIG_4,1,1,1664340780,1664340960,120.4,139.4,19.0,-0.0,Wednesday,1,17000_PE,132.44000000000003,60.2,60,1,1,0,1664340780,True,0,GAP_DOWN,3,16948.2,1.0,0.3,0.23,0.18,0.4,0.0199,-0.0739,0.31,0.38,0.55,0.562,-0.012,0.58,0.54,5.002,0.5505,48.20000000000073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,9923.032499999748,82.6919374999979,9.39173750342987,0.09,0.27,4.902528117259272,2.8661582638597505,22.532608069235387,7.7014342438983165,[1664340780],"[[0, 0, 0, 0]]",30,17000,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:23:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_5,1,1,1664341260,1664341620,197.25,220.3,23.05,-0.0,Wednesday,1,17100_PE,216.97500000000002,98.625,60,1,1,0,1664341260,True,0,GAP_DOWN,3,16927.6,1.0,0.3,0.15,0.1,0.3,0.0367,-0.1304,0.27,0.34,0.52,0.5361,-0.0161,0.57,0.5,4.3971,0.5167,27.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,11236.188749999748,93.6349062499979,9.993859781552425,0.13,0.17,4.160795765442169,3.6283333163720326,16.230207564113886,12.342002488776817,[1664341260],"[[0, 0, 0, 0]]",20,17100,PE,ITM_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:31:00
2022-09-28,NIFTY_17000_PE,OPTION_CHEAP_BUY,SIG_6,1,1,1664342400,1664346000,135.35,97.15,-38.2,-0.0,Wednesday,1,17000_PE,148.88500000000002,67.675,60,1,0,0,1664342400,True,0,GAP_DOWN,4,16910.35,1.0,0.3,0.06,0.05,0.07,-0.0469,0.0001,0.95,0.93,0.46,0.4691,-0.0091,0.58,0.36,2.267,0.4117,10.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,12784.30124999962,106.53584374999683,10.660123513980968,0.2,0.12,3.693955048100965,4.7107743770344275,12.792472403803687,20.804433029366344,[1664342400],"[[0, 0, 0, 0]]",20,17000,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:50:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_7,1,1,1664342700,1664346300,198.6,139.9,-58.7,-0.0,Wednesday,1,17100_PE,218.46,99.3,60,1,0,0,1664342700,True,0,GAP_DOWN,4,16930.8,1.0,0.3,0.11,0.1,0.14,-0.0741,0.0895,0.95,0.9,0.46,0.456,0.004,0.56,0.36,2.4608,0.4185,30.799999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13243.221249999599,110.36017708332999,10.849770606893891,0.21,0.12,3.8262669189288583,5.027491370724972,13.725298626458756,23.695940140044424,[1664342700],"[[0, 0, 0, 0]]",20,17100,PE,ITM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:55:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_8,1,1,1664342940,1664346540,196.8,141.0,-55.8,-0.0,Wednesday,1,17100_PE,216.48000000000002,98.4,60,1,0,0,1664342940,True,0,GAP_DOWN,4,16930.75,1.0,0.3,0.12,0.12,0.14,-0.0384,-0.0392,0.96,0.95,0.45,0.4572,-0.0072,0.58,0.34,2.0548,0.3872,30.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13659.887499999559,113.83239583332966,11.019129830536452,0.23,0.12,3.8844432006441294,5.34142200528779,14.145842792841007,26.747614723661847,[1664342940],"[[0, 0, 0, 0]]",20,17100,PE,ITM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 10:59:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_9,1,1,1664343120,1664346720,192.1,139.1,-53.0,-0.0,Wednesday,1,17100_PE,211.31,96.05,60,1,0,0,1664343120,True,0,GAP_DOWN,4,16929.05,1.0,0.3,0.09,0.09,0.09,-0.0241,-0.1118,0.97,0.98,0.45,0.4628,-0.0128,0.6,0.32,1.6585,0.3488,29.049999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13659.887499999559,113.83239583332966,11.019129830536452,0.23,0.12,3.8844432006441294,5.34142200528779,14.145842792841007,26.747614723661847,[1664343120],"[[0, 0, 0, 0]]",20,17100,PE,ITM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:02:00
2022-09-28,NIFTY_17200_PE,OPTION_CHEAP_BUY,SIG_10,1,1,1664343660,1664347260,268.15,198.85,-69.3,-0.0,Wednesday,1,17200_PE,294.965,134.075,60,1,0,0,1664343660,True,0,GAP_DOWN,4,16934.7,1.0,0.3,0.11,0.1,0.16,-0.0461,-0.0793,0.98,0.97,0.45,0.4689,-0.0189,0.62,0.32,0.3327,-0.1435,34.70000000000073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13926.596249999586,116.05496874999655,11.12618383214402,0.25,0.13,3.9441392698022577,5.516719848102806,14.583969918371517,28.532060514798225,[1664343660],"[[0, 0, 0, 0]]",20,17200,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:11:00
