day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pattern_time,pattern_price,strength,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-03-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1646368200,1646368860,16261.95,16241.9,-20.05,0.0,Friday,1,16294.4739,16245.68805,15,1,-1,0,1646368200,True,0,GAP_DOWN,2,0.0,-0.06,0.0,-0.03,-0.17,-38.04999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.14,0.66,-1,0.61,0.57,0.26,0.17,1.0,1,0.0027,-0.34,1,1,1,1,1,[1646367960],"[[16264.5, 16270.1, 16249.2, 16261.95]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-03-04 10:00:00
2022-03-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1646369100,1646369640,16219.15,16190.7,-28.45,-0.0,Friday,1,16251.5883,16202.930849999999,15,1,-1,0,1646369100,True,0,GAP_DOWN,3,0.0,-0.2,0.0,-0.15,-0.38,19.149999999999636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.14,0.66,-1,0.61,0.57,0.26,0.17,1.0,1,0.0027,-0.34,1,1,1,1,1,[1646368860],"[[16249.75, 16250.1, 16217.9, 16219.15]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-03-04 10:15:00
2022-02-11,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1644568500,1644568680,17395.9,17376.0,-19.9,0.0,Friday,1,17430.6918,17378.504100000002,15,1,-1,0,1644568500,True,0,BELOW_VA,10,1.0,-0.23,0.03,0.01,0.1,-4.099999999998545,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.6,0.25,0.15,1,0.24,0.23,0.04,0.73,0.36,1,0.0044,1.02,1,0,1,1,0,[1644568260],"[[17415.05, 17415.05, 17392.0, 17395.9]]",100,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1523,-0.6553,0.8,0.9,0.47,0.5569,-0.0869,0.72,0.39,1.3964,0.3409,2022-02-11 14:05:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1643952000,1643952900,17535.65,17545.9,10.25,0.0,Friday,1,17570.7213,17518.11435,15,1,0,0,1643952000,True,0,BELOW_VA,4,1.0,0.0,0.01,0.01,0.0,35.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643951760],"[[17542.95, 17542.95, 17524.55, 17535.65]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,-0.4878,0.94,0.99,0.4,0.4816,-0.0816,0.73,0.24,0.7079,0.0688,2022-02-04 10:50:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1643952600,1643953500,17558.65,17568.15,9.5,0.0,Friday,1,17593.767300000003,17541.091350000002,15,1,0,0,1643952600,True,0,BELOW_VA,4,1.0,0.0,0.06,0.05,0.11,-41.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643952360],"[[17545.7, 17560.3, 17545.55, 17558.65]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707,-0.5354,0.94,0.99,0.38,0.4704,-0.0904,0.72,0.22,0.7175,0.0573,2022-02-04 11:00:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1643959200,1643959740,17506.65,17488.35,-18.3,0.0,Friday,1,17541.6633,17489.143350000002,15,1,-1,0,1643959200,True,0,BELOW_VA,8,1.0,0.0,-0.0,-0.02,0.03,6.650000000001455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643958960],"[[17522.5, 17525.55, 17505.3, 17506.65]]",100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0196,-0.3279,0.96,0.99,0.45,0.5054,-0.0554,0.7,0.31,0.5667,0.0357,2022-02-04 12:50:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1643960700,1643961420,17478.6,17522.9,44.3,-0.0,Friday,1,17513.5572,17461.1214,15,1,1,0,1643960700,True,0,BELOW_VA,9,1.0,0.0,-0.03,-0.03,-0.03,-21.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643960460],"[[17474.0, 17486.45, 17462.75, 17478.6]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,-0.2917,0.97,0.99,0.44,0.498,-0.058,0.71,0.29,0.6004,0.049,2022-02-04 13:15:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1643961000,1643961900,17498.7,17529.1,30.4,-0.0,Friday,1,17533.6974,17481.2013,15,1,0,0,1643961000,True,0,BELOW_VA,9,0.92,0.0,-0.02,-0.03,0.0,-1.2999999999992724,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643960760],"[[17479.2, 17504.9, 17462.55, 17498.7]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,-0.305,0.97,1.0,0.44,0.497,-0.057,0.71,0.29,0.5921,0.0431,2022-02-04 13:20:00
2022-02-04,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1643965500,1643965800,17525.8,17499.7,-26.1,0.0,Friday,1,17560.851599999998,17508.2742,15,1,-1,0,1643965500,True,0,BELOW_VA,11,0.94,0.0,-0.0,-0.01,0.01,25.799999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.03,0.05,0.92,-1,0.39,0.26,0.03,0.71,0.89,1,0.0,-1.21,1,1,1,1,1,[1643965260],"[[17540.7, 17550.55, 17523.75, 17525.8]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0359,-0.3608,0.95,0.99,0.44,0.4991,-0.0591,0.7,0.3,0.529,0.0019,2022-02-04 14:35:00
2022-01-21,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1642746000,1642746600,17593.05,17629.7,36.65,-0.0,Friday,1,17628.2361,17575.45695,15,1,1,0,1642746000,True,0,GAP_DOWN,6,1.0,0.2,-0.03,-0.02,-0.05,-6.950000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.46,0.08,0.46,-1,0.2,0.23,0.0,0.77,0.24,-1,0.0,-1.01,0,1,1,0,1,[1642745760],"[[17593.4, 17601.3, 17592.95, 17593.05]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0032,-0.2565,0.97,0.99,0.5,0.5476,-0.0476,0.76,0.34,0.5337,0.0694,2022-01-21 11:50:00
