day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,price_location,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,day_total_profit,day_call_profit,day_put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,near_call_volume_share_per_oi,near_put_volume_share_per_oi,far_call_volume_share_per_oi,far_put_volume_share_per_oi,pattern_location,pattern_height,strength,entry_time_read,exit_time_read
2023-10-18,NIFTY_19800_PE,PutBuy,SIG_1,1,1,1697610360,1697613060,105.2,118.05,12.85,-0.0,Wednesday,1,19800_PE,0,SHORT,,,,136.76000000000002,86.26400000000001,45,1,TC,19712.5,19687.8,1697610360,,6,19712.5,0.43,0.6172839506172867,0.17,-0.12,-0.07,-0.27,0.1079,-0.4505,0.76,0.87,0.56,0.6206,-0.0606,0.72,0.52,2.1174,0.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,[19712.5],2.09,3.32,6632650,10548750,2.26,4.19,-0.32,put_to_call_trans,-0.006,0.002,-0.008,0.0,1.65,0.75,-2.25,0.7368421052631579,0.3,0.98,1.67,1.39,-0.09,0.24,-0.39,-0.09,0.24,-0.39,0.169,0.219,0.17,0.418,-0.051,-0.248,1.347,2.439,0.364,0.772,0.6172839506172867,0,1,2023-10-18 11:56:00,2023-10-18 12:41:00
2023-10-18,NIFTY_19800_PE,PutBuy,SIG_1,2,1,1697610360,1697612460,105.2,127.35,22.15,-0.0,Wednesday,2,19800_PE,0,SHORT,,,,126.24,86.26400000000001,45,1,IT,19712.5,19677.1,1697610360,,6,19712.5,0.43,0.6172839506172867,0.17,-0.12,-0.07,-0.27,0.1079,-0.4505,0.76,0.87,0.56,0.6206,-0.0606,0.72,0.52,2.1174,0.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,[19712.5],2.09,3.32,6632650,10548750,2.26,4.19,-0.32,put_to_call_trans,-0.006,0.002,-0.008,0.0,1.65,0.75,-2.25,0.7368421052631579,0.3,0.98,1.67,1.39,-0.09,0.24,-0.39,-0.09,0.24,-0.39,0.169,0.219,0.17,0.418,-0.051,-0.248,1.347,2.439,0.364,0.772,0.6172839506172867,0,1,2023-10-18 11:56:00,2023-10-18 12:31:00
2023-10-18,NIFTY_19800_PE,PutBuy,SIG_1,3,1,1697610360,1697610780,105.2,119.35,14.15,-0.0,Wednesday,3,19800_PE,0,SHORT,,,,115.72000000000001,86.26400000000001,45,1,IT,19712.5,19691.8,1697610360,,6,19712.5,0.43,0.6172839506172867,0.17,-0.12,-0.07,-0.27,0.1079,-0.4505,0.76,0.87,0.56,0.6206,-0.0606,0.72,0.52,2.1174,0.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,[19712.5],2.09,3.32,6632650,10548750,2.26,4.19,-0.32,put_to_call_trans,-0.006,0.002,-0.008,0.0,1.65,0.75,-2.25,0.7368421052631579,0.3,0.98,1.67,1.39,-0.09,0.24,-0.39,-0.09,0.24,-0.39,0.169,0.219,0.17,0.418,-0.051,-0.248,1.347,2.439,0.364,0.772,0.6172839506172867,0,1,2023-10-18 11:56:00,2023-10-18 12:03:00
2023-10-18,NIFTY_19800_PE,PutBuy,SIG_1,4,1,1697610360,1697613060,105.2,118.05,12.85,-0.0,Wednesday,4,19800_PE,0,SHORT,,,,157.8,86.26400000000001,45,1,TC,19712.5,19687.8,1697610360,,6,19712.5,0.43,0.6172839506172867,0.17,-0.12,-0.07,-0.27,0.1079,-0.4505,0.76,0.87,0.56,0.6206,-0.0606,0.72,0.52,2.1174,0.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,[19712.5],2.09,3.32,6632650,10548750,2.26,4.19,-0.32,put_to_call_trans,-0.006,0.002,-0.008,0.0,1.65,0.75,-2.25,0.7368421052631579,0.3,0.98,1.67,1.39,-0.09,0.24,-0.39,-0.09,0.24,-0.39,0.169,0.219,0.17,0.418,-0.051,-0.248,1.347,2.439,0.364,0.772,0.6172839506172867,0,1,2023-10-18 11:56:00,2023-10-18 12:41:00
2023-10-20,NIFTY_19600_PE,PutBuy,SIG_1,1,1,1697782620,1697785320,135.8,130.8,-5.0,0.0,Friday,1,19600_PE,0,SHORT,,,,176.54000000000002,111.35600000000002,45,1,TC,19539.25,19544.5,1697782620,,6,19539.25,1.0,1.9607843137254943,0.0,-0.06,-0.05,-0.11,0.035,-0.4048,0.95,0.99,0.3,0.3659,-0.0659,0.58,0.15,0.6591,-0.0592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[19539.25],1.93,3.13,3064800,4966300,2.31,4.45,-0.17,both_covering,-0.013,-0.001,-0.012,-0.01,2.37,0.78,-9.84,0.15,0.8,0.7,1.42,1.2,-0.0,0.12,-0.07,-0.0,0.12,-0.07,0.173,0.208,0.123,0.416,-0.036,-0.293,1.242,2.293,0.543,0.871,1.9607843137254943,0,1,2023-10-20 11:47:00,2023-10-20 12:32:00
2023-10-20,NIFTY_19600_PE,PutBuy,SIG_1,2,1,1697782620,1697785320,135.8,130.8,-5.0,0.0,Friday,2,19600_PE,0,SHORT,,,,162.96,111.35600000000002,45,1,TC,19539.25,19544.5,1697782620,,6,19539.25,1.0,1.9607843137254943,0.0,-0.06,-0.05,-0.11,0.035,-0.4048,0.95,0.99,0.3,0.3659,-0.0659,0.58,0.15,0.6591,-0.0592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[19539.25],1.93,3.13,3064800,4966300,2.31,4.45,-0.17,both_covering,-0.013,-0.001,-0.012,-0.01,2.37,0.78,-9.84,0.15,0.8,0.7,1.42,1.2,-0.0,0.12,-0.07,-0.0,0.12,-0.07,0.173,0.208,0.123,0.416,-0.036,-0.293,1.242,2.293,0.543,0.871,1.9607843137254943,0,1,2023-10-20 11:47:00,2023-10-20 12:32:00
2023-10-20,NIFTY_19600_PE,PutBuy,SIG_1,3,1,1697782620,1697785320,135.8,130.8,-5.0,0.0,Friday,3,19600_PE,0,SHORT,,,,149.38000000000002,111.35600000000002,45,1,TC,19539.25,19544.5,1697782620,,6,19539.25,1.0,1.9607843137254943,0.0,-0.06,-0.05,-0.11,0.035,-0.4048,0.95,0.99,0.3,0.3659,-0.0659,0.58,0.15,0.6591,-0.0592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[19539.25],1.93,3.13,3064800,4966300,2.31,4.45,-0.17,both_covering,-0.013,-0.001,-0.012,-0.01,2.37,0.78,-9.84,0.15,0.8,0.7,1.42,1.2,-0.0,0.12,-0.07,-0.0,0.12,-0.07,0.173,0.208,0.123,0.416,-0.036,-0.293,1.242,2.293,0.543,0.871,1.9607843137254943,0,1,2023-10-20 11:47:00,2023-10-20 12:32:00
2023-10-20,NIFTY_19600_PE,PutBuy,SIG_1,4,1,1697782620,1697785320,135.8,130.8,-5.0,0.0,Friday,4,19600_PE,0,SHORT,,,,203.70000000000002,111.35600000000002,45,1,TC,19539.25,19544.5,1697782620,,6,19539.25,1.0,1.9607843137254943,0.0,-0.06,-0.05,-0.11,0.035,-0.4048,0.95,0.99,0.3,0.3659,-0.0659,0.58,0.15,0.6591,-0.0592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[19539.25],1.93,3.13,3064800,4966300,2.31,4.45,-0.17,both_covering,-0.013,-0.001,-0.012,-0.01,2.37,0.78,-9.84,0.15,0.8,0.7,1.42,1.2,-0.0,0.12,-0.07,-0.0,0.12,-0.07,0.173,0.208,0.123,0.416,-0.036,-0.293,1.242,2.293,0.543,0.871,1.9607843137254943,0,1,2023-10-20 11:47:00,2023-10-20 12:32:00
2023-11-02,NIFTY_19200_PE,PutBuy,SIG_1,1,1,1698905520,1698907140,121.4,132.6,11.2,0.0,Thursday,1,19200_PE,0,SHORT,,,,157.82000000000002,99.54800000000002,45,1,EC,19090.3,19071.25,1698905520,,5,19090.3,1.0,0.6756756756756799,0.05,-0.02,0.0,-0.07,0.1189,-0.6076,0.87,0.95,0.42,0.5141,-0.0941,0.71,0.32,0.8727,0.1602,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[19090.3],2.03,3.23,22471350,35766300,2.6,3.96,-0.15,both_build_up,0.003,0.002,0.002,0.0,1.17,1.28,1.44,0.6,0.10526315789473684,1.12,1.79,1.41,0.15,0.42,-0.31,0.15,0.42,-0.31,0.213,0.235,0.266,0.263,-0.022,0.003,1.271,2.286,0.148,0.497,0.6756756756756799,0,1,2023-11-02 11:42:00,2023-11-02 12:09:00
2023-11-02,NIFTY_19200_PE,PutBuy,SIG_1,2,1,1698905520,1698907140,121.4,132.6,11.2,0.0,Thursday,2,19200_PE,0,SHORT,,,,145.68,99.54800000000002,45,1,EC,19090.3,19071.25,1698905520,,5,19090.3,1.0,0.6756756756756799,0.05,-0.02,0.0,-0.07,0.1189,-0.6076,0.87,0.95,0.42,0.5141,-0.0941,0.71,0.32,0.8727,0.1602,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[19090.3],2.03,3.23,22471350,35766300,2.6,3.96,-0.15,both_build_up,0.003,0.002,0.002,0.0,1.17,1.28,1.44,0.6,0.10526315789473684,1.12,1.79,1.41,0.15,0.42,-0.31,0.15,0.42,-0.31,0.213,0.235,0.266,0.263,-0.022,0.003,1.271,2.286,0.148,0.497,0.6756756756756799,0,1,2023-11-02 11:42:00,2023-11-02 12:09:00
