day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,entry_time_read,exit_time_read
2023-09-29,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1695981000,1696306200,101.4,207.8,-106.4,-0.0,Friday,1,19700_PE,200,LONG,,,,50.7,202.8,90000000,1,IS,19635.4,19503.6,1695981000,,13,19635.4,0.19,0.05,0.06,0.04,0.11,0.0889,-0.4701,0.89,0.96,0.56,0.6268,-0.0668,0.78,0.47,1.3661,0.4232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.02,2.31,2.85,3932550,4856650,2.8,3.49,-0.02,put_to_call_trans,0.007,0.012,-0.005,0.0,1.42,1.23,3.34,0.3888888888888889,0.4375,1.07,0.7,0.89,0.14,-0.03,0.25,0.196,0.27,0.137,0.361,-0.074,-0.224,2023-09-29 15:20:00,2023-10-03 09:40:00
2023-10-06,NIFTY_19700_PE,DayBeforeExpiry,SIG_1,1,-1,1696585800,1696823460,109.55,221.8,-112.25,0.0,Friday,1,19700_PE,200,LONG,,,,54.775,219.1,90000000,1,IS,19641.65,19491.3,1696585800,,13,19641.65,0.14,-0.05,0.05,0.04,0.09,0.1493,-0.6832,0.84,0.93,0.43,0.5237,-0.0937,0.72,0.33,1.0758,0.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.35,1.11,2.29,1891800,3900250,1.38,2.97,0.35,both_covering,-0.027,-0.007,-0.02,-0.013,1.55,2.77,0.99,0.8421052631578947,0.5714285714285714,0.9,1.07,1.02,0.02,-0.25,0.24,0.201,0.357,0.123,0.29,-0.155,-0.167,2023-10-06 15:20:00,2023-10-09 09:21:00
2023-10-13,NIFTY_19900_PE,DayBeforeExpiry,SIG_1,1,-1,1697190600,1697429700,191.4,204.8,-13.4,-0.0,Friday,1,19900_PE,200,LONG,,,,95.7,382.8,90000000,1,EC,19750.55,19714.1,1697190600,,13,19750.55,0.52,0.08,0.03,0.02,0.06,0.0299,-0.2834,0.95,0.99,0.55,0.5965,-0.0465,0.75,0.44,1.5051,0.4397,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,1.09,2.01,1864250,3426450,1.25,2.55,0.04,both_covering,-0.024,-0.008,-0.016,-0.008,1.55,1.49,-1.3,0.875,0.375,0.51,1.07,0.72,0.05,-0.16,0.18,0.143,0.356,0.173,0.299,-0.213,-0.126,2023-10-13 15:20:00,2023-10-16 09:45:00
2023-10-20,NIFTY_19600_PE,DayBeforeExpiry,SIG_1,1,-1,1697795400,1698034500,134.45,129.4,5.05,-0.0,Friday,1,19600_PE,200,LONG,,,,67.225,268.9,90000000,1,EC,19538.15,19536.8,1697795400,,13,19538.15,0.95,0.0,-0.06,-0.04,-0.12,0.0727,-0.5153,0.94,0.99,0.34,0.4143,-0.0743,0.65,0.18,0.7121,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.16,1.86,1.91,2943750,3020950,2.55,2.87,-0.16,put_covering,-0.011,-0.004,-0.007,-0.003,1.43,0.77,-0.84,0.05,0.7777777777777778,1.31,0.62,0.98,0.02,0.13,-0.05,0.162,0.226,0.118,0.416,-0.064,-0.297,2023-10-20 15:20:00,2023-10-23 09:45:00
2023-10-27,NIFTY_19100_PE,DayBeforeExpiry,SIG_1,1,-1,1698400200,1698639300,129.05,180.4,-51.35,0.0,Friday,1,19100_PE,200,LONG,,,,64.525,258.1,90000000,1,EC,19034.15,18952.7,1698400200,,13,19034.15,0.43,0.17,0.06,0.04,0.12,0.0757,-0.4942,0.92,0.98,0.41,0.4793,-0.0693,0.7,0.26,0.696,0.0672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1.13,1.55,1934350,2641750,1.37,2.03,0.08,call_to_put_trans,0.001,-0.006,0.007,0.013,1.38,1.2,0.44,0.95,0.0,1.11,0.89,1.01,0.08,-0.28,0.28,0.156,0.31,0.12,0.346,-0.154,-0.226,2023-10-27 15:20:00,2023-10-30 09:45:00
2023-11-03,NIFTY_19300_PE,DayBeforeExpiry,SIG_1,1,-1,1699005000,1699242300,117.95,57.6,60.35,0.0,Friday,1,19300_PE,200,LONG,,,,58.975,235.9,90000000,1,IT,19220.95,19318.05,1699005000,,13,19220.95,0.95,0.06,-0.02,-0.01,-0.04,0.0922,-0.5646,0.92,0.98,0.43,0.514,-0.084,0.74,0.28,0.7373,0.1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,1.33,1.36,2273500,2318700,2.51,2.59,-0.2,both_covering,-0.026,-0.015,-0.01,0.004,1.15,1.0,0.9,0.7222222222222222,0.07142857142857142,0.68,1.13,0.88,0.08,0.18,-0.11,0.136,0.286,0.172,0.372,-0.15,-0.2,2023-11-03 15:20:00,2023-11-06 09:15:00
2023-11-10,NIFTY_19500_PE,DayBeforeExpiry,SIG_1,1,-1,1699609800,1699848900,118.15,90.25,27.9,0.0,Friday,1,19500_PE,200,LONG,,,,59.075,236.3,90000000,1,EC,19429.3,19448.95,1699609800,,13,19429.3,0.05,0.0,0.05,0.04,0.08,0.0553,-0.4236,0.94,0.99,0.47,0.5372,-0.0672,0.74,0.34,0.5848,0.0719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,1.66,1.3,2826700,2209500,2.41,2.05,-0.08,both_covering,-0.025,-0.015,-0.01,0.005,0.68,1.02,-0.29,0.35294117647058826,0.9444444444444444,1.07,0.36,0.73,0.02,-0.41,0.29,0.177,0.291,0.195,0.313,-0.114,-0.118,2023-11-10 15:20:00,2023-11-13 09:45:00
2023-11-17,NIFTY_19800_PE,DayBeforeExpiry,SIG_1,1,-1,1700214600,1700453700,105.9,121.45,-15.55,0.0,Friday,1,19800_PE,200,LONG,,,,52.95,211.8,90000000,1,EC,19723.85,19714.45,1700214600,,13,19723.85,1.0,0.23,-0.01,-0.03,0.04,0.0739,-0.5348,0.93,0.98,0.37,0.4586,-0.0886,0.69,0.23,0.7098,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.19,2.07,1.42,3523000,2419800,2.59,1.92,-0.19,both_covering,-0.019,-0.013,-0.006,0.007,1.54,0.54,-0.2,0.3333333333333333,0.8421052631578947,-0.1,0.7,0.26,-0.03,-0.07,0.01,0.171,0.262,0.136,0.405,-0.091,-0.269,2023-11-17 15:20:00,2023-11-20 09:45:00
2023-11-24,NIFTY_19900_PE,DayBeforeExpiry,SIG_1,1,-1,1700819400,1701161520,115.5,55.0,60.5,0.0,Friday,1,19900_PE,200,LONG,,,,57.75,231.0,90000000,1,IT,19795.55,19855.05,1700819400,,13,19795.55,0.81,-0.09,-0.01,0.0,-0.05,0.1779,-0.7578,0.79,0.89,0.44,0.5385,-0.0985,0.73,0.35,1.1857,0.2693,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.17,1.5,1.19,2381600,1882250,2.32,2.01,-0.17,call_covering,-0.009,-0.006,-0.003,0.003,0.98,0.67,0.07,0.4375,0.6,0.3,0.92,0.58,0.09,0.15,-0.09,0.137,0.293,0.166,0.33,-0.156,-0.165,2023-11-24 15:20:00,2023-11-28 14:22:00
2023-12-01,NIFTY_20400_PE,DayBeforeExpiry,SIG_1,1,-1,1701424200,1701661500,174.55,44.2,130.35,0.0,Friday,1,20400_PE,200,LONG,,,,87.275,349.1,90000000,1,IT,20264.05,20543.0,1701424200,,13,20264.05,0.24,0.11,0.06,0.05,0.1,0.116,-0.5997,0.88,0.96,0.38,0.4699,-0.0899,0.68,0.26,0.8857,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1.54,1.21,2629350,2067750,3.34,2.63,0.16,both_covering,-0.019,-0.013,-0.006,0.007,0.93,0.94,1.75,0.8421052631578947,0.5882352941176471,-0.32,0.97,0.41,-0.06,-0.12,0.06,0.109,0.42,0.143,0.25,-0.311,-0.108,2023-12-01 15:20:00,2023-12-04 09:15:00
