day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-12-21,NIFTY_18500_CE,WED_OPTION_PRICE_DROP,SIG_1,1,1,1671595980,1671599580,30.75,24.7,-6.05,0.0,Wednesday,1,18500_CE,0,LONG,,,33.825,15.375,60,1,TC,1671595980,True,GAP_UP,1,18406.4,0.0,-0.25,0.0,-0.21,-0.38,6.400000000001455,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.68,0.09,0.23,1,0.79,0.23,0.02,0.75,0.86,1,0.0,0.2,1,1,1,1,1,1745.4512499999785,14.545427083333154,3.938923992948078,0.0,-0.42,-2.5548885603006455,0.0,-6.11948958333291,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-21 09:43:00
2022-12-21,NIFTY_18600_CE,WED_OPTION_PRICE_DROP,SIG_2,1,1,1671596040,1671596160,10.7,12.0,1.3,0.0,Wednesday,1,18600_CE,0,LONG,,,11.77,5.35,60,1,IT,1671596040,True,GAP_UP,1,18398.85,0.0,-0.25,0.0,-0.21,-0.38,-1.1500000000014552,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.68,0.09,0.23,1,0.79,0.23,0.02,0.75,0.86,1,0.0,0.2,1,1,1,1,1,1745.4512499999785,14.545427083333154,3.938923992948078,0.0,-0.42,-2.5548885603006455,0.0,-6.11948958333291,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-21 09:44:00
2022-12-14,NIFTY_18600_PE,WED_OPTION_PRICE_DROP,SIG_1,1,1,1670990100,1670992200,27.35,32.5,5.15,-0.0,Wednesday,1,18600_PE,0,SHORT,,,30.085000000000004,13.675,60,1,IT,1670990100,True,GAP_UP,1,18681.75,0.0,0.25,0.0,0.25,0.25,-18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,323.9625000000586,2.699687500000488,1.6969580627308347,0.0,0.83,1.5454880566778113,0.0,2.2392500000003976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-12-14 09:25:00
2022-12-14,NIFTY_18700_PE,WED_OPTION_PRICE_DROP,SIG_2,1,1,1670990520,1670992080,57.6,64.8,7.2,-0.0,Wednesday,1,18700_PE,0,SHORT,,,63.36000000000001,28.8,60,1,IT,1670990520,True,GAP_UP,1,18684.7,0.0,0.11,0.0,0.06,0.25,-15.299999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,432.20250000002613,3.6016875000002178,1.9600510197441883,0.0,0.87,1.8304826321674845,0.0,3.1412500000001273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-12-14 09:32:00
2022-12-14,NIFTY_18600_PE,WED_OPTION_PRICE_DROP,SIG_3,1,1,1670990520,1670992080,26.2,29.15,2.95,-0.0,Wednesday,1,18600_PE,0,SHORT,,,28.82,13.1,60,1,IT,1670990520,True,GAP_UP,1,18684.7,0.0,0.11,0.0,0.06,0.25,-15.299999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,432.20250000002613,3.6016875000002178,1.9600510197441883,0.0,0.87,1.8304826321674845,0.0,3.1412500000001273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-14 09:32:00
2022-12-14,NIFTY_18500_PE,WED_OPTION_PRICE_DROP,SIG_4,1,1,1670991180,1670992080,12.1,13.6,1.5,-0.0,Wednesday,1,18500_PE,0,SHORT,,,13.31,6.05,60,1,IT,1670991180,True,GAP_UP,1,18689.95,0.0,0.03,0.0,0.0,0.12,-10.049999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,861.8625000000945,7.182187500000788,2.767851152067401,0.0,0.94,2.677660670560669,0.0,6.721750000000698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-12-14 09:43:00
2022-12-14,NIFTY_18500_PE,WED_OPTION_PRICE_DROP,SIG_5,1,1,1670991360,1670992080,12.1,13.6,1.5,-0.0,Wednesday,1,18500_PE,0,SHORT,,,13.31,6.05,60,1,IT,1670991360,True,GAP_UP,2,18688.65,0.0,-0.05,0.0,-0.07,0.0,-11.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,861.8625000000945,7.182187500000788,2.767851152067401,0.0,0.94,2.677660670560669,0.0,6.721750000000698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-12-14 09:46:00
2022-12-14,NIFTY_18700_PE,WED_OPTION_PRICE_DROP,SIG_6,1,1,1670991540,1670992080,57.6,64.8,7.2,-0.0,Wednesday,1,18700_PE,0,SHORT,,,63.36000000000001,28.8,60,1,IT,1670991540,True,GAP_UP,2,18685.65,0.0,-0.01,0.0,-0.04,0.08,-14.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,861.8625000000945,7.182187500000788,2.767851152067401,0.0,0.94,2.677660670560669,0.0,6.721750000000698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-12-14 09:49:00
2022-12-14,NIFTY_18500_PE,WED_OPTION_PRICE_DROP,SIG_7,1,1,1670991540,1670992080,12.15,13.6,1.45,-0.0,Wednesday,1,18500_PE,0,SHORT,,,13.365000000000002,6.075,60,1,IT,1670991540,True,GAP_UP,2,18685.65,0.0,-0.01,0.0,-0.04,0.08,-14.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,861.8625000000945,7.182187500000788,2.767851152067401,0.0,0.94,2.677660670560669,0.0,6.721750000000698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-14 09:49:00
2022-12-14,NIFTY_18600_PE,WED_OPTION_PRICE_DROP,SIG_8,1,1,1670994240,1670997840,27.55,24.4,-3.15,-0.0,Wednesday,1,18600_PE,0,SHORT,,,30.305000000000003,13.775,60,1,TC,1670994240,True,GAP_UP,3,18672.9,1.0,-0.12,-0.01,-0.02,0.0,-27.099999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.16,0.57,1,0.25,0.32,0.15,0.53,0.18,1,0.0002,0.6,1,0,1,1,0,1551.7987500001486,12.931656250001238,3.7139960509763585,0.0,0.08,1.0183810681666583,0.0,0.9722812500002476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-0.1013,0.0191,0.99,0.96,0.53,0.5407,-0.0107,0.75,0.33,0.4947,0.064,2022-12-14 10:34:00
