day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,pattern_time,pattern_location,pattern_height,strength,entry_time_read
2022-08-01,NIFTY,dt_sell,SIG_1,1,-1,1659333420,1659335220.0,17252.85,17271.85,-19.0,-0.0,Monday,1,SPOT,0,SHORT,17239.45,17293.525,15527.564999999999,25879.274999999998,30.0,1,TC,1659333420,True,GAP_UP,5,17252.85,0.6,0.36,0.1,0.09,0.14,0.0285,-0.2594,0.91,0.95,0.41,0.4477,-0.0377,0.58,0.32,1.7093,0.3237,-47.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.1,0.5,1,0.0,0.14,0.13,0.73,0.0,1,0.0078,1.65,0,0,0,0,0,9170.150000000145,76.41791666666788,9.02842425035763,0.0,0.27,4.660751012444302,0.0,20.364937500000547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17156.45, 17277.55, 17258.5, 17284.0]","[1659325800, 1659329580, 1659330060, 1659330840, 1659333420]",100.0,19.049999999999272,0.0,2022-08-01 11:27:00
2022-08-01,NIFTY,dt_sell,SIG_1,2,-1,1659333420,1659336120.0,17252.85,17259.4,-6.55,-0.0,Monday,2,SPOT,0,SHORT,17220.4,17301.145,13802.279999999999,25879.274999999998,45.0,1,TC,1659333420,True,GAP_UP,5,17252.85,0.6,0.36,0.1,0.09,0.14,0.0285,-0.2594,0.91,0.95,0.41,0.4477,-0.0377,0.58,0.32,1.7093,0.3237,-47.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.1,0.5,1,0.0,0.14,0.13,0.73,0.0,1,0.0078,1.65,0,0,0,0,0,9170.150000000145,76.41791666666788,9.02842425035763,0.0,0.27,4.660751012444302,0.0,20.364937500000547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-01 11:27:00
2022-08-01,NIFTY,dt_sell,SIG_2,1,-1,1659335880,1659337440.0,17252.4,17291.25,-38.85,-0.0,Monday,1,SPOT,0,SHORT,17227.699999999997,17290.575,15527.160000000002,25878.600000000002,30.0,1,SS,1659335880,True,GAP_UP,6,17252.4,0.75,0.36,0.07,0.06,0.1,0.0487,-0.3992,0.94,0.99,0.41,0.4686,-0.0586,0.66,0.28,0.541,-0.0208,-47.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.1,0.5,1,0.0,0.14,0.13,0.73,0.0,1,0.0078,1.65,0,0,0,0,0,9756.746250000244,81.30621875000203,9.312713532227624,0.02,0.24,4.546102551694443,1.2989767043201825,19.375357884865057,1.581881698468615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17156.45, 17284.0, 17252.85, 17278.0]","[1659325800, 1659330840, 1659333420, 1659334680, 1659335880]",100.0,25.150000000001455,0.0,2022-08-01 12:08:00
2022-08-01,NIFTY,dt_sell,SIG_2,2,-1,1659335880,1659338580.0,17252.4,17286.5,-34.1,-0.0,Monday,2,SPOT,0,SHORT,17202.549999999996,17300.635000000002,13801.920000000002,25878.600000000002,45.0,1,TC,1659335880,True,GAP_UP,6,17252.4,0.75,0.36,0.07,0.06,0.1,0.0487,-0.3992,0.94,0.99,0.41,0.4686,-0.0586,0.66,0.28,0.541,-0.0208,-47.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.1,0.5,1,0.0,0.14,0.13,0.73,0.0,1,0.0078,1.65,0,0,0,0,0,9756.746250000244,81.30621875000203,9.312713532227624,0.02,0.24,4.546102551694443,1.2989767043201825,19.375357884865057,1.581881698468615,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-01 12:08:00
2022-07-29,NIFTY,dt_sell,SIG_1,1,-1,1659070260,1659070500.0,17100.3,17064.8,35.5,-0.0,Friday,1,SPOT,0,SHORT,17082.05,17151.475,15390.27,25650.449999999997,30.0,1,ST,1659070260,True,GAP_UP,3,17100.3,1.0,0.06,0.01,0.0,0.05,0.1718,-0.8326,0.85,0.94,0.41,0.5213,-0.1113,0.78,0.26,0.7955,0.1204,0.2999999999992724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.73,1,0.0,0.17,0.05,0.78,0.0,1,0.0073,2.25,0,0,0,0,0,2940.8574999999305,24.507145833332753,5.112822660288047,0.05,0.31,2.863242074364035,1.133176819037724,7.685770477882932,1.203834096754176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17076.9, 17130.95, 17106.5, 17139.25]","[1659066300, 1659067860, 1659068280, 1659068880, 1659070260]",100.0,24.450000000000728,0.0,2022-07-29 10:21:00
2022-07-29,NIFTY,dt_sell,SIG_1,2,-1,1659070260,1659070560.0,17100.3,17048.4,51.9,-0.0,Friday,2,SPOT,0,SHORT,17057.6,17161.255,13680.24,25650.449999999997,45.0,1,ST,1659070260,True,GAP_UP,3,17100.3,1.0,0.06,0.01,0.0,0.05,0.1718,-0.8326,0.85,0.94,0.41,0.5213,-0.1113,0.78,0.26,0.7955,0.1204,0.2999999999992724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.73,1,0.0,0.17,0.05,0.78,0.0,1,0.0073,2.25,0,0,0,0,0,2940.8574999999305,24.507145833332753,5.112822660288047,0.05,0.31,2.863242074364035,1.133176819037724,7.685770477882932,1.203834096754176,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-29 10:21:00
2022-07-29,NIFTY,dt_sell,SIG_2,1,-1,1659086460,1659086880.0,17076.55,17112.9,-36.35,-0.0,Friday,1,SPOT,0,SHORT,17059.799999999996,17108.675000000003,15368.895,25614.824999999997,30.0,1,SS,1659086460,True,GAP_UP,12,17076.55,0.89,0.06,0.03,0.02,0.08,0.181,-0.8738,0.86,0.94,0.43,0.5565,-0.1265,0.82,0.29,0.7924,0.1425,-23.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.73,1,0.0,0.17,0.05,0.78,0.0,1,0.0073,2.25,0,0,0,0,0,16439.55125000032,136.99626041666934,12.088397099882485,0.38,-0.08,-3.5026960641728753,7.448316278728408,-11.502074735598892,52.010076926222425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17064.05, 17097.9, 17078.85, 17099.15]","[1659084420, 1659085200, 1659085920, 1659086100, 1659086460]",53.41246290801187,19.05000000000291,0.0,2022-07-29 14:51:00
2022-07-29,NIFTY,dt_sell,SIG_2,2,-1,1659086460,1659087000.0,17076.55,17139.8,-63.25,-0.0,Friday,2,SPOT,0,SHORT,17040.749999999993,17116.295000000006,13661.24,25614.824999999997,39.0,1,SS,1659086460,True,GAP_UP,12,17076.55,0.89,0.06,0.03,0.02,0.08,0.181,-0.8738,0.86,0.94,0.43,0.5565,-0.1265,0.82,0.29,0.7924,0.1425,-23.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.73,1,0.0,0.17,0.05,0.78,0.0,1,0.0073,2.25,0,0,0,0,0,16439.55125000032,136.99626041666934,12.088397099882485,0.38,-0.08,-3.5026960641728753,7.448316278728408,-11.502074735598892,52.010076926222425,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-29 14:51:00
2022-07-28,NIFTY,dt_sell,SIG_1,1,-1,1658999100,1658999580.0,16898.1,16884.3,13.8,-0.0,Thursday,1,SPOT,0,SHORT,16884.649999999998,16933.9,15208.289999999999,25347.149999999998,30.0,1,ST,1658999100,True,GAP_UP,11,16898.1,0.0,0.2,0.09,0.06,0.19,0.1157,-0.5799,0.84,0.91,0.48,0.5654,-0.0854,0.73,0.4,0.9769,0.257,-1.9000000000014552,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.05,0.78,1,0.8,0.02,0.02,0.96,1.0,-1,0.0,0.62,1,1,1,1,1,13564.93250000016,113.041104166668,10.980763988802382,0.1,0.59,8.467842814149432,3.483189997687941,67.2228393048208,11.374324274993736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[16753.75, 16928.55, 16904.35, 16924.05]","[1658981160, 1658996880, 1658997300, 1658998620, 1658999100]",100.0,19.700000000000728,0.0,2022-07-28 14:35:00
2022-07-28,NIFTY,dt_sell,SIG_1,2,-1,1658999100,1659001800.0,16898.1,16935.95,-37.85,-0.0,Thursday,2,SPOT,0,SHORT,16864.949999999997,16941.78,13518.48,25347.149999999998,45.0,1,TC,1658999100,True,GAP_UP,11,16898.1,0.0,0.2,0.09,0.06,0.19,0.1157,-0.5799,0.84,0.91,0.48,0.5654,-0.0854,0.73,0.4,0.9769,0.257,-1.9000000000014552,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.05,0.78,1,0.8,0.02,0.02,0.96,1.0,-1,0.0,0.62,1,1,1,1,1,13564.93250000016,113.041104166668,10.980763988802382,0.1,0.59,8.467842814149432,3.483189997687941,67.2228393048208,11.374324274993736,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-28 14:35:00
