day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-12-23,NIFTY_18300_CE,FRIDAY_CHEAP_OPTION,SIG_1,1,1,1671767520,1671768180,44.15,49.65,5.5,0.0,Friday,1,18300_CE,0,LONG,,,48.565000000000005,22.075,60,1,IT,1671767520,True,GAP_DOWN,1,17988.05,0.0,-0.09,0.0,-0.12,0.0,-11.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,2022-12-23 09:22:00
2022-12-23,NIFTY_18200_CE,FRIDAY_CHEAP_OPTION,SIG_2,1,1,1671767580,1671768120,72.8,80.8,8.0,0.0,Friday,1,18200_CE,0,LONG,,,80.08,36.4,60,1,IT,1671767580,True,GAP_DOWN,1,17984.55,0.0,-0.25,0.0,-0.25,-0.25,-15.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,2022-12-23 09:23:00
2022-12-23,NIFTY_18100_CE,FRIDAY_CHEAP_OPTION,SIG_3,1,1,1671767640,1671768000,111.4,122.8,11.4,0.0,Friday,1,18100_CE,0,LONG,,,122.54000000000002,55.7,60,1,IT,1671767640,True,GAP_DOWN,1,17975.6,0.0,-0.25,0.0,-0.25,-0.25,-24.400000000001455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,2022-12-23 09:24:00
2022-12-23,NIFTY_18300_CE,FRIDAY_CHEAP_OPTION,SIG_4,1,1,1671767940,1671768120,41.45,47.5,6.05,0.0,Friday,1,18300_CE,0,LONG,,,45.595000000000006,20.725,60,1,IT,1671767940,True,GAP_DOWN,1,17977.25,0.0,-0.25,0.0,-0.25,-0.25,-22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,2073.750000000189,17.281250000001577,4.293405796490126,0.0,-0.83,-3.9107373558789873,0.0,-14.338000000000664,0.0,,,,,,,,,,,,2022-12-23 09:29:00
2022-12-23,NIFTY_18200_CE,FRIDAY_CHEAP_OPTION,SIG_5,1,1,1671767940,1671768120,70.15,80.8,10.65,0.0,Friday,1,18200_CE,0,LONG,,,77.165,35.075,60,1,IT,1671767940,True,GAP_DOWN,1,17977.25,0.0,-0.25,0.0,-0.25,-0.25,-22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,2073.750000000189,17.281250000001577,4.293405796490126,0.0,-0.83,-3.9107373558789873,0.0,-14.338000000000664,0.0,,,,,,,,,,,,2022-12-23 09:29:00
2022-12-16,NIFTY_18600_CE,FRIDAY_CHEAP_OPTION,SIG_1,1,1,1671171480,1671173160,21.0,23.2,2.2,0.0,Friday,1,18600_CE,0,LONG,,,23.1,10.5,60,1,IT,1671171480,True,GAP_DOWN,6,18324.2,0.71,-0.22,-0.15,-0.15,-0.18,24.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17249.13374999952,143.742781249996,12.382472827885756,0.11,0.14,4.674822987482596,4.086414546361677,20.48809684152722,15.65510985442154,0.0348,-0.2648,0.89,0.93,0.56,0.6007,-0.0407,0.74,0.46,1.8748,0.4894,2022-12-16 11:48:00
2022-12-16,NIFTY_18500_CE,FRIDAY_CHEAP_OPTION,SIG_2,1,1,1671171480,1671173100,39.55,43.8,4.25,0.0,Friday,1,18500_CE,0,LONG,,,43.505,19.775,60,1,IT,1671171480,True,GAP_DOWN,6,18324.2,0.71,-0.22,-0.15,-0.15,-0.18,24.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,17249.13374999952,143.742781249996,12.382472827885756,0.11,0.14,4.674822987482596,4.086414546361677,20.48809684152722,15.65510985442154,0.0348,-0.2648,0.89,0.93,0.56,0.6007,-0.0407,0.74,0.46,1.8748,0.4894,2022-12-16 11:48:00
2022-12-16,NIFTY_18400_CE,FRIDAY_CHEAP_OPTION,SIG_3,1,1,1671172020,1671172680,70.95,78.4,7.45,0.0,Friday,1,18400_CE,0,LONG,,,78.04500000000002,35.475,60,1,IT,1671172020,True,GAP_DOWN,6,18311.75,0.71,-0.22,-0.18,-0.17,-0.23,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17249.13374999952,143.742781249996,12.382472827885756,0.11,0.14,4.674822987482596,4.086414546361677,20.48809684152722,15.65510985442154,0.0862,-0.4124,0.81,0.89,0.54,0.599,-0.059,0.74,0.46,1.8744,0.4682,2022-12-16 11:57:00
2022-12-16,NIFTY_18600_CE,FRIDAY_CHEAP_OPTION,SIG_4,1,1,1671179040,1671179820,21.55,24.4,2.85,0.0,Friday,1,18600_CE,0,LONG,,,23.705000000000002,10.775,60,1,IT,1671179040,True,GAP_DOWN,10,18319.45,0.87,-0.22,-0.11,-0.08,-0.2,19.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26029.75749999967,216.91464583333058,15.211036198175956,0.27,0.1,4.9155218617988465,7.9295915366020235,22.6522079754585,58.94852056626605,0.0299,-0.2658,0.94,0.98,0.54,0.5769,-0.0369,0.72,0.43,1.6994,0.4471,2022-12-16 13:54:00
2022-12-16,NIFTY_18500_CE,FRIDAY_CHEAP_OPTION,SIG_5,1,1,1671179040,1671179760,40.4,44.45,4.05,0.0,Friday,1,18500_CE,0,LONG,,,44.440000000000005,20.2,60,1,IT,1671179040,True,GAP_DOWN,10,18319.45,0.87,-0.22,-0.11,-0.08,-0.2,19.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,26029.75749999967,216.91464583333058,15.211036198175956,0.27,0.1,4.9155218617988465,7.9295915366020235,22.6522079754585,58.94852056626605,0.0299,-0.2658,0.94,0.98,0.54,0.5769,-0.0369,0.72,0.43,1.6994,0.4471,2022-12-16 13:54:00
