day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read,exit_time_read
2022-09-30,NIFTY_17000_CE,WeeklySell,SIG_1,1,-1,1664521620,1664785620,212.05,106.0,106.05,0.0,Friday,1,17000_CE,200,SHORT,16907.3685,17334.32225,17334.32225,106.025,424.1,90000000,1,IT,17078.15,16954.15,1664521620,INSIDE_VA,7,17078.15,0.0,0.22,0.28,0.22,0.45,0.1191,-0.5573,0.84,0.92,0.52,0.6027,-0.0827,0.77,0.43,1.4017,0.3949,-21.849999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.23,0.14,0.63,-1,0.87,0.03,0.77,0.2,0.95,-1,0.0,-0.66,1,1,1,1,1,32669.014999999927,272.2417916666661,17.04086982652129,0.32,0.31,9.47476053115893,9.606779471206492,84.16039417763162,86.52207357036983,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-09-30 12:37:00,2022-10-03 13:57:00
2022-10-10,NIFTY_17000_CE,WeeklySell,SIG_1,1,-1,1665373500,1665481500,203.55,101.0,102.55,0.0,Monday,1,17000_CE,200,SHORT,16954.9875,17383.14375,17383.14375,101.775,407.1,90000000,1,IT,17126.25,16977.75,1665373500,GAP_DOWN,1,17126.25,0.0,,,,,,,,,,,,,,,,26.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.17,0.25,1,0.18,0.04,0.44,0.52,0.19,-1,-0.0016,-0.42,0,1,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-10-10 09:15:00,2022-10-11 15:15:00
2022-10-17,NIFTY_17100_CE,WeeklySell,SIG_1,1,-1,1665978300,1666064760,177.2,377.5,-200.3,-0.0,Monday,1,17100_CE,200,SHORT,17017.8525,17447.59625,17447.59625,88.6,354.4,90000000,1,IS,17189.75,17462.5,1665978300,GAP_DOWN,1,17189.75,0.0,,,,,,,,,,,,,,,,-10.25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.19,0.15,0.66,-1,0.0,0.39,0.16,0.45,0.0,-1,0.0123,1.08,0,0,0,0,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2022-10-17 09:15:00,2022-10-18 09:16:00
2022-10-21,NIFTY_17500_CE,WeeklySell,SIG_1,1,-1,1666341480,1666863960,149.65,235.1,-85.45,-0.0,Friday,1,17500_CE,200,SHORT,17390.6865,17829.84525,17829.84525,74.825,299.3,90000000,1,TSFE,17566.35,17742.2,1666341480,GAP_UP,10,17566.35,0.75,0.08,-0.03,-0.02,-0.05,-0.0417,-0.2645,0.99,1.0,0.47,0.5283,-0.0583,0.81,0.25,0.6805,0.1177,-33.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.01,0.12,0.87,1,0.68,0.32,0.29,0.39,0.83,-1,-0.0028,0.17,1,1,1,1,1,7534.883749999645,62.79069791666371,8.183932089432396,0.45,-0.13,-2.94367292759537,5.504640997967956,-8.123634660616776,28.407255484227797,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2022-10-21 14:08:00,2022-10-27 15:16:00
2022-11-07,NIFTY_18000_CE,WeeklySell,SIG_1,1,-1,1667804940,1668051960,183.85,85.55,98.3,0.0,Monday,1,18000_CE,200,SHORT,17936.424,18389.363999999998,18389.363999999998,91.925,367.7,90000000,1,IT,18117.6,18056.55,1667804940,GAP_UP,7,18117.6,0.4,-0.41,-0.14,-0.1,-0.27,0.0365,-0.3664,0.95,0.99,0.51,0.5637,-0.0537,0.77,0.36,0.5504,0.0849,17.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.31,0.07,0.62,1,0.76,0.06,0.4,0.54,0.61,1,0.0,0.46,1,0,1,1,1,8269.789999999895,68.91491666666579,8.573753229738042,0.08,-0.68,-7.064367800889558,2.4032102674266893,-46.786211649604844,5.414455865123494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-07 12:39:00,2022-11-10 09:16:00
2022-11-17,NIFTY_18300_CE,WeeklySell,SIG_1,1,-1,1668656700,1668678240,86.7,43.15,43.55,0.0,Thursday,1,18300_CE,200,SHORT,18188.378999999997,18647.681499999995,18647.681499999995,43.35,173.4,90000000,1,IT,18372.1,18323.15,1668656700,BELOW_VA,1,18372.1,0.0,,,,,,,,,,,,,,,,-27.900000000001455,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2022-11-17 09:15:00,2022-11-17 15:14:00
2022-11-18,NIFTY_18300_CE,WeeklySell,SIG_1,1,-1,1668743100,1669002360,163.0,63.95,99.05,0.0,Friday,1,18300_CE,200,SHORT,18187.5375,18646.81875,18646.81875,81.5,326.0,90000000,1,IT,18371.25,18209.4,1668743100,INSIDE_VA,1,18371.25,0.0,,,,,,,,,,,,,,,,-28.75,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2022-11-18 09:15:00,2022-11-21 09:16:00
2022-11-24,NIFTY_18200_CE,WeeklySell,SIG_1,1,-1,1669261680,1669282200,106.05,217.1,-111.05,-0.0,Thursday,1,18200_CE,200,SHORT,18118.683,18576.2255,18576.2255,53.025,212.1,90000000,1,IS,18301.7,18420.15,1669261680,GAP_UP,1,18301.7,0.0,-0.25,0.0,-0.25,-0.25,,,,,,,,,,,,1.7000000000007276,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.09,0.0,0.91,-1,0.2,0.33,0.1,0.57,0.13,1,0.0035,0.24,1,0,0,1,0,22.65625,0.18880208333333334,0.44876373392787533,0.0,1.0,0.44876373392787533,0.0,0.18880208333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2022-11-24 09:18:00,2022-11-24 15:00:00
2022-12-02,NIFTY_18600_CE,WeeklySell,SIG_1,1,-1,1669962060,1670390400,160.45,77.9,82.55,0.0,Friday,1,18600_CE,200,SHORT,18464.4405,18930.714249999997,18930.714249999997,80.225,320.9,90000000,1,IT,18650.95,18608.95,1669962060,GAP_DOWN,6,18650.95,0.14,-0.22,-0.16,-0.08,-0.39,0.0721,-0.4108,0.89,0.95,0.47,0.5272,-0.0572,0.69,0.37,1.4749,0.3512,-49.04999999999927,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.21,0.14,0.65,-1,0.35,0.05,0.18,0.77,0.19,1,0.003,0.84,1,0,0,0,0,4465.0,37.208333333333336,6.299911815961307,0.0,-1.0,-6.299911815961307,0.0,-37.208333333333336,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2022-12-02 11:51:00,2022-12-07 10:50:00
2022-12-09,NIFTY_18500_CE,WeeklySell,SIG_1,1,-1,1670557500,1670570580,226.65,112.6,114.05,0.0,Friday,1,18500_CE,200,SHORT,18462.3615,18928.582749999998,18928.582749999998,113.325,453.3,90000000,1,IT,18648.85,18470.0,1670557500,GAP_UP,1,18648.85,0.0,,,,,,,,,,,,,,,,48.849999999998545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.39,0.14,0.47,1,1.0,0.17,0.21,0.62,0.63,-1,0.0,0.12,0,1,1,1,1,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2022-12-09 09:15:00,2022-12-09 12:53:00
